addr_full,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
"Avenida Central con calle Juan A. Guizado, Calidonia",Panamá,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",8.972077,-79.537508,"{'Mon': '08:00-17:00', 'Tue': '08:00-17:00', 'Wed': '08:00-17:00', 'Thu': '08:00-17:00', 'Fri': '08:00-17:00', 'Sat': 'Closed', 'Sun': 'Closed'}",300-9200,0301,507,Novey Calidonia,Panamá,https://www.novey.com.pa/sucursales-y-horarios
"Calle 64B con calle 65 oeste, Los Ángeles",Panamá,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",9.002103,-79.528942,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': 'Closed', 'Sun': 'Closed'}",300-9200,0302,507,Novey Los Ángeles,Panamá,https://www.novey.com.pa/sucursales-y-horarios
"Avenida Marina del norte, Costa del Este",Panamá,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",9.022786,-79.462596,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-20:00'}",300-9200,0303,507,Novey Costa del Este,Panamá,https://www.novey.com.pa/sucursales-y-horarios
Centro comercial Albrook Mall,Panamá,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",8.978058,-79.553376,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",300-9200,0304,507,Novey Albrook,Panamá,https://www.novey.com.pa/sucursales-y-horarios
Avenida principal Brisas del Golf con calle 29,Panamá,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",9.069807,-79.451639,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",300-9200,0305,507,Novey Brisas del Golf,Panamá,https://www.novey.com.pa/sucursales-y-horarios
"Avenida Balboa con vía Italia, Paitilla",Panamá,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",8.975606,-79.516233,"{'Mon': '08:00-18:00', 'Tue': '08:00-18:00', 'Wed': '08:00-18:00', 'Thu': '08:00-18:00', 'Fri': '08:00-18:00', 'Sat': '08:00-18:00', 'Sun': 'Closed'}",300-9200,0306,507,Novey Paitilla,Panamá,https://www.novey.com.pa/sucursales-y-horarios
"Plaza La Rotonda Cuatro Altos, Colón.",Colón,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",9.338865,-79.879862,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",300-9200,0307,507,Novey Colón,Colón,https://www.novey.com.pa/sucursales-y-horarios
Carretera Interamericana con vía Boquete,David,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",8.445824,-82.421650,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",300-9200,0308,507,Novey David,Chiriquí,https://www.novey.com.pa/sucursales-y-horarios
Avenida Las Américas,La Chorrera,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",8.888566,-79.772446,"{'Mon': '08:00-18:00', 'Tue': '08:00-18:00', 'Wed': '08:00-18:00', 'Thu': '08:00-18:00', 'Fri': '08:00-18:00', 'Sat': '08:00-18:00', 'Sun': '09:00-18:00'}",300-9200,0309,507,Novey La Chorrera,Panamá Oeste,https://www.novey.com.pa/sucursales-y-horarios
"Avenida Centenario, Centennial",Panamá,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",9.030579,-79.530144,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",300-9200,0310,507,Novey Centenario,Panamá,https://www.novey.com.pa/sucursales-y-horarios
"Avenida Costanera, Versalles",Panamá,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",9.030572,-79.530146,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",300-9200,0311,507,Novey Versalles,Panamá,https://www.novey.com.pa/sucursales-y-horarios
"Carretera Interamericana, Coronado",La Chorrera,Panama,Novey,"{'brand': 'Novey', 'fascia': 'Novey', 'category': 'Hardware Store', 'edit_date': '20250406', 'lat_lon_source': 'website'}",8.541412,-79.916491,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': '09:00-18:00'}",300-9200,0312,507,Novey Coronado,Panamá Oeste,https://www.novey.com.pa/sucursales-y-horarios
