addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Barriada Santa Cruz, Ave. Belisario Porras, Centro Comercial Federal Mall, Local B-17",Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",8.4561,-82.4257,Farmacia Arrocha Federal Mall,"{'opening_hours': {'Mon': '7:00-10:00', 'Tue': '7:00-10:00', 'Wed': '7:00-10:00', 'Thu': '7:00-10:00', 'Fri': '7:00-10:00', 'Sat': '7:00-10:00', 'Sun': '7:00-10:00'}}",,,"8.456100,-82.425700",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-federal-mall
"Urb. Agencia del Area Economica, calle Panamá Pacìfico, EDIF. Torre Mosaic, local L11, L12 y L13",Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",8.916971418,-79.591326,Farmacia Arrocha Panamá Pacífico,"{'opening_hours': {'Mon': '7:00-7:30', 'Tue': '7:00-7:30', 'Wed': '7:00-7:30', 'Thu': '7:00-7:30', 'Fri': '7:00-7:30', 'Sat': '7:00-7:30', 'Sun': '7:00-7:30'}}",,,"8.916971417589146,-79.59132600159793",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-panama-pacifico
"Urb. San Mateo, Calle F Sur, Edificio PH F Sur 507, Local  11 Y 12",Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",8.427391201,-82.43882023,Farmacia Arrocha Plaza F507,"{'opening_hours': {'Mon': '7:00-10:00', 'Tue': '7:00-10:00', 'Wed': '7:00-10:00', 'Thu': '7:00-10:00', 'Fri': '7:00-10:00', 'Sat': '7:00-10:00', 'Sun': '7:00-10:00'}}",,,"8.42739120102267,-82.4388202309885",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-plaza-f507
"Centro Comercial Westland Mall Los Pueblos, carretera Panama -Arraijan,  Planta baja 5",Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",8.922702931,-79.70320085,Farmacia Arrocha Westland Mall,"{'opening_hours': {'Mon': '7:00-10:00', 'Tue': '7:00-10:00', 'Wed': '7:00-10:00', 'Thu': '7:00-10:00', 'Fri': '7:00-10:00', 'Sat': '7:00-10:00', 'Sun': '7:00-10:00'}}",,,"8.922702930659181,-79.70320085421292",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-westland-mall
"Centro Comercial El Terronal, calle Via Panamericana, local 26, planta baja",Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",8.444702382,-82.4192511,Farmacia Arrocha Plaza Terronal ,"{'opening_hours': {'Mon': '7:00-10:00', 'Tue': '7:00-10:00', 'Wed': '7:00-10:00', 'Thu': '7:00-10:00', 'Fri': '7:00-10:00', 'Sat': '7:00-10:00', 'Sun': '7:00-10:00'}}",,,"8.444702381717235,-82.41925109888497",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-plaza-terronal
"PH Terrazas de Coronado, Via Panamericana, Local Sub Ancla N1 Local 2 y3",Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",8.551609,-79.90903,Farmacia Arrocha Terrazas de Coronado,"{'opening_hours': {'Mon': '7:00-10:00', 'Tue': '7:00-10:00', 'Wed': '7:00-10:00', 'Thu': '7:00-10:00', 'Fri': '7:00-10:00', 'Sat': '7:00-10:00', 'Sun': '7:00-10:00'}}",,,"8.551609,-79.909030",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-terrazas-de-coronado
"Paseo Central Mall, calle Carretera Nacional, interseccion Calle F Monagrillo, Locales 12, 3, 24.",Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",7.969651998,-80.44681642,Farmacia Arrocha Chitre,"{'opening_hours': {'Mon': '7:00-10:00', 'Tue': '7:00-10:00', 'Wed': '7:00-10:00', 'Thu': '7:00-10:00', 'Fri': '7:00-10:00', 'Sat': '7:00-10:00', 'Sun': '7:00-10:00'}}",,,"7.969651997628207,-80.44681641604274",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-chitre
"Calle Principal, Edificio Centro Comercial Brisas del Golf Arraijan, Local 11",Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",8.974059,-79.706883,Farmacia Arrocha Brisas del Golf Arraijan,"{'opening_hours': {'Mon': '7:00-10:00', 'Tue': '7:00-10:00', 'Wed': '7:00-10:00', 'Thu': '7:00-10:00', 'Fri': '7:00-10:00', 'Sat': '7:00-10:00', 'Sun': '7:00-10:00'}}",,,"8.974059,-79.706883",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-brisas-del-golf-arraijan
"Barrio Sur, Avenida Roosevelt, calle 11 y 12, Edificio Centro Médico Caribe. Colón,Provincia de Colón Panamá.",Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",9.357032098,-79.89451425,Farmacia Arrocha Centro Medico Colon,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}",,,"9.357032098011615,-79.89451425205237",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-centro-medico-colon
"Calle Intermericana, Edificio PH NOVOTRADE, local L39, 39A, 39B, 39C, 39D y 39E",Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",8.374369194,-80.15474908,Farmacia Arrocha Mareas Mall,"{'opening_hours': {'Mon': '7:00-10:00', 'Tue': '7:00-10:00', 'Wed': '7:00-10:00', 'Thu': '7:00-10:00', 'Fri': '7:00-10:00', 'Sat': '7:00-10:00', 'Sun': '7:00-10:00'}}",,,"8.374369193948036,-80.15474907656467",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-mareas-mall
Urb. Sabanitas Calle Ave. Simon Bolivar (Transistmica) PH Terrazas de Sabanitas Local 23,Farmacias Arrocha,,Panama,"{'brand': ' Farmacias Arrocha', 'fascia': 'Farmacias Arrocha', 'category': 'Other', 'edit_date': '20250413', 'lat_lon_source': 'Website'}",9.349897046,-79.81050351,Farmacia Arrocha Sabanitas,"{'opening_hours': {'Mon': '7:00-10:00', 'Tue': '7:00-10:00', 'Wed': '7:00-10:00', 'Thu': '7:00-10:00', 'Fri': '7:00-10:00', 'Sat': '7:00-10:00', 'Sun': '7:00-10:00'}}",,,"9.349897045548804,-79.81050351381482",,https://www.arrochaparati.com/es/tiendas-app/farmacia-arrocha-sabanitas
