addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,ref,postcode,state,website
" Plaza 2412, Las Mañanitas",Rey,PANAMA NORTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",8.1217651,-80.9676583,REY PLAZA LAS AMÉRICAS,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6858,8.1217651--80.9676583,,,https://www.smrey.com/Sucursales
" Urbanizacion Brisas del Golf, Via Domingo Diaz",Rey,PANAMA NORTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",8.420247700000001,-82.37436000548128,REY BRISAS DEL GOLF,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6553,8.420247700000001--82.37436000548128,,,https://www.smrey.com/Sucursales
" Plaza Norsash Avenida Brisas del Golf Norte, corredor Nortte calle 7 occidente, Rotonda Paseo del Norte.",Rey,PANAMA NORTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY BRISAS NORTE,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6674-9864,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Centro Comercial Mis Provincias Milla 7, Via Boyd Roosevelt.",Rey,PANAMA NORTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY MILLA 8,"{'opening_hours': {'Lun': '7:30 - 10:00', 'Mar': '7:30 - 10:00', 'Mié': '7:30 - 10:00', 'Jue': '7:30 - 10:00', 'Vie': '7:30 - 10:00', 'Sáb': '7:30 - 10:00', 'Dom': '7:30 - 10:00'}}", 6982-6775,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Vía Costanera y Avenida La Rambla, Plaza Versalles",Rey,PANAMA NORTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY VERSALLES,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6732,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
 Corregimiento Pueblo Nuevo Ave. 12 de Octubre,Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY 12 DE OCTUBRE,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6525,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
 Entre Calle 75 y 76 San Francisco,Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY CALLE 50,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6702,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Urb. Costa del Este, entre la calle ave. Punta del este y costa del sol, edifi. Comercial Rey",Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.01595965,-79.46838449872232,REY COSTA DEL ESTE,"{'opening_hours': {'Lun': '6:30 - 10:00', 'Mar': '6:30 - 10:00', 'Mié': '6:30 - 10:00', 'Jue': '6:30 - 10:00', 'Vie': '6:30 - 10:00', 'Sáb': '6:30 - 10:00', 'Dom': '6:30 - 10:00'}}", 6372-6458,9.01595965--79.46838449872232,,,https://www.smrey.com/Sucursales
" Santa Elena, P.H, Centro Comercil Plaza Agora Local 3",Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY CHANIS,"{'opening_hours': {'Lun': '6:30 - 10:00', 'Mar': '6:30 - 10:00', 'Mié': '6:30 - 10:00', 'Jue': '6:30 - 10:00', 'Vie': '6:30 - 10:00', 'Sáb': '6:30 - 10:00', 'Dom': '6:30 - 10:00'}}", 6349-1070,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" parque Lefevre, urbanización Via España, Calle Vía España entre la intersección con la calle del Rio Abajo, Edf. PH Parque Lefebre 75, local Nº 1",Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.0103266,-79.4844776,REY PARQUE LEFEVRE,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6349-9675,9.0103266--79.4844776,,,https://www.smrey.com/Sucursales
