addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
San Miguelito,Super 99,Panamá,Panama,"{'brand': 'Super 99', 'fascia': 'Super 99', 'category': 'Filling Station', 'edit_date': '20250403', 'lat_lon_source': 'Website'}",9.0300231,-79.5083427,Super 99 San Miguelito,"{'opening_hours': {'Mon': '7:00a.m.-9:00p.m.', 'Tue': '7:00a.m.-9:00p.m.', 'Wed': '7:00a.m.-9:00p.m.', 'Thu': '7:00a.m.-9:00p.m.', 'Fri': '7:00a.m.-9:00p.m.', 'Sat': '7:00a.m.-9:00p.m.', 'Sun': '7:00a.m.-9:00p.m.'}}",323-8870,,9.0300231--79.5083427,,https://www.waze.com/es-419/live-map/directions/super-99-san-miguelito-ciudad-de-panama?to=place.w.183828570.1838220167.27243055
Paitilla,Super 99,Panamá,Panama,"{'brand': 'Super 99', 'fascia': 'Super 99', 'category': 'Filling Station', 'edit_date': '20250403', 'lat_lon_source': 'Website'}",8.9784055,-79.5146928,Super 99 Paitilla,"{'opening_hours': {'Fri': '6:00a.m.-12:00a.m.', 'Sat': '6:00a.m.-12:00a.m.'}}",323-8811,,8.9784055--79.5146928,,"https://www.waze.com/en/live-map/directions/super-99-calle-56-d-este-paitilla,-san-francisco.?to=place.w.183828570.1838220162.10637351"
Tumba Muerto,Super 99,Panamá,Panama,"{'brand': 'Super 99', 'fascia': 'Super 99', 'category': 'Filling Station', 'edit_date': '20250403', 'lat_lon_source': 'Website'}",8.9999013,-79.5350088,Super 99 Tumba Muerto,"{'opening_hours': {'Mon': '6:00a.m.-11:00p.m.', 'Tue': '6:00a.m.-11:00p.m.', 'Wed': '6:00a.m.-11:00p.m.', 'Thu': '6:00a.m.-11:00p.m.', 'Fri': '6:00a.m.-11:00p.m.', 'Sat': '6:00a.m.-11:00p.m.', 'Sun': '6:00a.m.-11:00p.m.'}}",323-8822,,8.9999013--79.5350088,,https://www.waze.com/en/live-map/directions/super-99-tumba-muerto-via-ricardo-j.-alfaro-ciudad-de-panama?to=place.w.183828570.1838089092.20996588
Brisas del Golf,Super 99,Panamá,Panama,"{'brand': 'Super 99', 'fascia': 'Super 99', 'category': 'Filling Station', 'edit_date': '20250403', 'lat_lon_source': 'Website'}",9.0693301,-79.455534,Super 99 Brisas del Golf,"{'opening_hours': {'Fri': '6:00a.m.-12:00a.m.', 'Sat': '6:00a.m.-12:00a.m.'}}",323-8835,,9.0693301--79.455534,,https://www.waze.com/en/live-map/directions/pa/panama/panama/super-99?to=place.ChIJA8zGBcZVq48RfpJesjUL_2k
Villa Lucre,Super 99,Panamá,Panama,"{'brand': 'Super 99', 'fascia': 'Super 99', 'category': 'Filling Station', 'edit_date': '20250403', 'lat_lon_source': 'Website'}",9.0411659,-79.4806132,Super 99 Villa Lucre,"{'opening_hours': {'Mon': '6:00a.m.-12:00a.m.', 'Tue': '6:00a.m.-12:00a.m.', 'Wed': '6:00a.m.-12:00a.m.', 'Thu': '6:00a.m.-12:00a.m.', 'Fri': '6:00a.m.-12:00a.m.', 'Sat': '6:00a.m.-12:00a.m.', 'Sun': '6:00a.m.-12:00a.m.'}}",323-8851,,9.0411659--79.4806132,,https://www.waze.com/en/live-map/directions/pa/panama/provincia/super-99?to=place.ChIJcapHY_dXq48RnJLTR-E2-Q0
Vía Porras,Super 99,Panamá,Panama,"{'brand': 'Super 99', 'fascia': 'Super 99', 'category': 'Filling Station', 'edit_date': '20250403', 'lat_lon_source': 'Website'}",8.9922399,-79.5196829,Super 99 Vía Porras,"{'opening_hours': {'Fri': '6:00a.m.-12:00a.m.', 'Sat': '6:00a.m.-12:00a.m.'}}",323-8818,,8.9922399--79.5196829,,https://www.waze.com/en/live-map/directions/super-99-via-porras-av.-belisario-porras-ciudad-de-panama?to=place.w.183828570.1838154627.16474196
San Francisco,Super 99,Panamá,Panama,"{'brand': 'Super 99', 'fascia': 'Super 99', 'category': 'Filling Station', 'edit_date': '20250403', 'lat_lon_source': 'Website'}",8.9921879,-79.5023745,Super 99 San Francisco,"{'opening_hours': {'Mon': '6:00a.m.-11:00p.m.', 'Tue': '6:00a.m.-11:00p.m.', 'Wed': '6:00a.m.-11:00p.m.', 'Thu': '6:00a.m.-11:00p.m.', 'Fri': '6:00a.m.-11:00p.m.', 'Sat': '6:00a.m.-11:00p.m.', 'Sun': '6:00a.m.-11:00p.m.'}}",323-8859,,8.9921879--79.5023745,,https://www.waze.com/en/live-map/directions/super-99-san-francisco-calle-78-este-ciudad-de-panama?to=place.w.183828570.1838285699.424648
Condado del Rey,Super 99,Panamá,Panama,"{'brand': 'Super 99', 'fascia': 'Super 99', 'category': 'Filling Station', 'edit_date': '20250403', 'lat_lon_source': 'Website'}",9.0377436,-79.5316,Super 99 Condado del Rey,"{'opening_hours': {'Fri': '6:00a.m.-12:00a.m.', 'Sat': '6:00a.m.-12:00a.m.'}}",323-8865,,9.0377436--79.5316,,"https://www.waze.com/en/live-map/directions/super-99-or-condado-del-rey-av.-condado-del-rey-condado-del-rey,-panama?to=place.w.183828570.1838089096.355401"
El Dorado,Super 99,Panamá,Panama,"{'brand': 'Super 99', 'fascia': 'Super 99', 'category': 'Filling Station', 'edit_date': '20250403', 'lat_lon_source': 'Website'}",9.0078746,-79.5375968,Super 99 El Dorado,"{'opening_hours': {'Mon': '6:00a.m.-10:00p.m.', 'Tue': '6:00a.m.-10:00p.m.', 'Wed': '6:00a.m.-10:00p.m.', 'Thu': '6:00a.m.-10:00p.m.', 'Fri': '6:00a.m.-10:00p.m.', 'Sat': '6:00a.m.-10:00p.m.', 'Sun': '6:00a.m.-10:00p.m.'}}",323-8812,,9.0078746--79.5375968,,https://www.waze.com/en/live-map/directions/pa/panama/panama/super-99?to=place.ChIJKzsl_UKorI8R3dLUUq-3dgg
Costa del Este,Super 99,Panamá,Panama,"{'brand': 'Super 99', 'fascia': 'Super 99', 'category': 'Filling Station', 'edit_date': '20250403', 'lat_lon_source': 'Website'}",9.0162273,-79.4677645,Super 99 Costa del Este,"{'opening_hours': {'Mon': '6:00a.m.-11:00p.m.', 'Tue': '6:00a.m.-11:00p.m.', 'Wed': '6:00a.m.-11:00p.m.', 'Thu': '6:00a.m.-11:00p.m.', 'Fri': '6:00a.m.-11:00p.m.', 'Sat': '6:00a.m.-11:00p.m.', 'Sun': '6:00a.m.-11:00p.m.'}}",323-8834,,9.0162273--79.4677645,,"https://www.waze.com/en/live-map/directions/super-99-or-costa-del-este-costa-del-este,-ciudad-de-panama?to=place.w.183828570.1838482310.3960789"
