addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Ojo de agua, Los Andes, Centro comercial Plaza Mayorca",Super Xtra,Ojo de Agua,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0559501,-79.5109749,Súper Xtra Ojo de Agua,"{'Mon': '00:00', 'Tue': '00:00', 'Wed': '00:00', 'Thu': '00:00', 'Fri': '00:00', 'Sat': '00:00', 'Sun': '00:00'}",,,9.0559501--79.5109749,,
"San Miguelito, Transísmica, Centro Comercial Oriental Pan De Azúcar",Super Xtra,San Miguelito,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0360341,-79.5078032,Súper Xtra San Miguelito,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-21:00'}}",,,9.0360341--79.5078032,,
"Ave. Ricardo J. Alfaro, Centro comercial King´s Park, Edificio Xtra",Super Xtra,Condado del Rey,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0263412,-79.5235991,Súper Xtra Condado del Rey,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-21:00'}}",,,9.0263412--79.5235991,,
Plaza Estación del Metro San Isidro,Super Xtra,San Isidro,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.065608,-79.514252,Súper Xtra San Isidro,{'opening_hours': {}},,,9.065608--79.514252,,
" Carretera Panamericana, Plaza Villa Lucre, al lado del Do it Center",Super Xtra,Villa Lucre,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0397313,-79.4830692,Xtra Market Villa Lucre,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-21:00'}}",,,9.0397313--79.4830692,,
"Urb. Altos de las Acacias, calle Domingo Díaz, Edificio Plaza Xtra ",Super Xtra,Las Acacias,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0584661,-79.4295486,Súper Xtra Las Acacias,"{'Mon': '00:00', 'Tue': '00:00', 'Wed': '00:00', 'Thu': '00:00', 'Fri': '00:00', 'Sat': '00:00', 'Sun': '00:00'}",,,9.0584661--79.4295486,,
  Horario de lunes a sábado: ,Super Xtra,Los Pueblos,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0443547,-79.4531241,Súper Xtra Los Pueblos,{'opening_hours': {'Sun': '06:00-21:00'}},,,9.0443547--79.4531241,,
"Centro Comercial Monterrico, 24 de Diciembre",Super Xtra,Monterrico,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.1035779,-79.3690605,Súper Xtra Monterrico,"{'Mon': '00:00', 'Tue': '00:00', 'Wed': '00:00', 'Thu': '00:00', 'Fri': '00:00', 'Sat': '00:00', 'Sun': '00:00'}",,,9.1035779--79.3690605,,
"Centro Comercial Pacora, local #2, Vía Interamericana, diagonal a la entrada de Pacora",Super Xtra,Pacora,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0973391,-79.2948857,Xtra Market Pacora,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-22:00'}}",,,9.0973391--79.2948857,,
" Las Cumbres, Vía Panamá Norte con Blvrd. El Lago, Plaza del Lago",Super Xtra,El Lago,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.1028949,-79.5234857,Súper Xtra El Lago,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-22:00'}}",,,9.1028949--79.5234857,,
" Albrook Mall, pasillo de la Orca, local 325 ",Super Xtra,Albrook Mall,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.968569,-79.5562687,Súper Xtra Albrook Mall,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-22:00'}}",,,8.968569--79.5562687,,
"Edificio PH Nyso, Ave. Simón Bolívar (Transístmica)",Super Xtra,Transístmica,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.9951143,-79.529007,Súper Xtra Transístmica,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-22:00'}}",,,8.9951143--79.529007,,
" Centro Comercial El Chorrillo, local #10, calle Avenida A. ",Super Xtra,Chorrillo,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Maxi Feria', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.9511636,-79.546774,Maxi Feria Chorrillo,"{'opening_hours': {'Mon': '06:00-21:00', 'Tue': '06:00-21:00', 'Wed': '06:00-21:00', 'Thu': '06:00-21:00', 'Fri': '06:00-21:00', 'Sat': '06:00-21:00', 'Sun': '06:00-21:00'}}",,,8.9511636--79.546774,,
" Plaza PH Los Yoses, Calle 16 Río Abajo",Super Xtra,Río Abajo,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Feria Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0203822,-79.4919453,Feria Xtra Río Abajo,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-21:00'}}",,,9.0203822--79.4919453,,
"Chepo, Vía Puerto Coquira, diagonal a la Anam de Panamá Este",Super Xtra,Chepo,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Maxi Feria Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.1647155,-79.0906318,Maxi Feria Xtra Chepo,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-21:00'}}",,,9.1647155--79.0906318,,
"San Francisco, Vía Israel, Edificio Plaza City Point, a un costado de Elmec ",Super Xtra,Vía Israel,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.9875108,-79.5025147,Xtra Market Vía Israel,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-22:00'}}",,,8.9875108--79.5025147,,
"Sobre la intersección de la calle Villalobos y el Corredor Norte, Plaza Centro Comercial Villalobos, local 18",Super Xtra,Villalobos,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0846701,-79.4542066,Xtra Market Villalobos,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-22:00'}}",,,9.0846701--79.4542066,,
"Plaza La Siesta, Tocumen",Super Xtra,La Siesta,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Maxi Feria Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0763991,-79.3683624,Maxi Feria Xtra La Siesta,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-21:00'}}",,,9.0763991--79.3683624,,
Plaza las mañanitas,Super Xtra,Mañanitas,Panamá,"{'brand': 'Super Xtra', 'fascia': 'Feria Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0812433,-79.4002633,Feria Xtra Mañanitas,"{'opening_hours': {'Mon': '06:00-21:30', 'Tue': '06:00-21:30', 'Wed': '06:00-21:30', 'Thu': '06:00-21:30', 'Fri': '06:00-21:30', 'Sat': '06:00-21:30', 'Sun': '06:00-21:00'}}",,,9.0812433--79.4002633,,
"La Fontana, Panamá, Plaza Agora",Super Xtra,Chanis,Panamá,"{'brand': 'Super Xtra', 'fascia': ' Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.0169461,-79.4836828, Xtra Market Chanis,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-21:00'}}",,,9.0169461--79.4836828,,
"Vía Panamericana, entrada de Arraiján, Local No.1.",Super Xtra,Arraiján,Panamá Oeste,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.9564881,-79.6553207,Súper Xtra Arraiján,"{'Mon': '00:00', 'Tue': '00:00', 'Wed': '00:00', 'Thu': '00:00', 'Fri': '00:00', 'Sat': '00:00', 'Sun': '00:00'}",,,8.9564881--79.6553207,,
"Arraiján, Vista Alegre, Vía Interamericana, Edificio Plaza Xtra",Super Xtra,Vista Alegre,Panamá Oeste,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.9309227,-79.7059755,Súper Xtra Vista Alegre,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-21:00'}}",,,8.9309227--79.7059755,,
Calle 48 sur y Vía Panamericana,Super Xtra,Chorrera,Panamá Oeste,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.8707126,-79.8024794,Súper Xtra Chorrera,"{'Mon': '00:00', 'Tue': '00:00', 'Wed': '00:00', 'Thu': '00:00', 'Fri': '00:00', 'Sat': '00:00', 'Sun': '00:00'}",,,8.8707126--79.8024794,,
"Las Anclas Mall, local B-13, Carretera Interamericana, Barrio Colón",Super Xtra,Anclas Mall,Panamá Oeste,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.892057,-79.7696111,Súper Xtra Anclas Mall,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-21:00'}}",,,8.892057--79.7696111,,
"Arraiján vía Chapala, Plaza La Marquesa",Super Xtra,La marquesa,Panamá Oeste,"{'brand': 'Super Xtra', 'fascia': 'Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.9722652,-79.7052744,Xtra Market La marquesa,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-21:00'}}",,,8.9722652--79.7052744,,
"
                                       ",Super Xtra,Capira,Panamá Oeste,"{'brand': 'Super Xtra', 'fascia': 'Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.7931395,-79.8811102,Xtra Market Capira,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-21:00'}}",,,8.7931395--79.8811102,,
" Vía Interamericana, Coronado, Centro Comercial The Village, Corregimiento de Las Lajas, Distrito de Chame",Super Xtra,Coronado,Panamá Oeste,"{'brand': 'Super Xtra', 'fascia': 'Feria Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.5438865,-79.9148554,Feria Xtra Coronado,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-21:00'}}",,,8.5438865--79.9148554,,
" Plaza Bugaba, carretera Panamericana, frente a Cochez",Super Xtra,Bugaba,Chiriquí,"{'brand': 'Super Xtra', 'fascia': 'Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.5129821,-82.6210112,Xtra Market Bugaba,"{'Mon': '00:00', 'Tue': '00:00', 'Wed': '00:00', 'Thu': '00:00', 'Fri': '00:00', 'Sat': '00:00', 'Sun': '00:00'}",,,8.5129821--82.6210112,,
"Urbanización San Mateo, antiguo Brisas Davideñas, Vía Panamericana",Super Xtra,David,Chiriquí,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.4286563,-82.4464512,Súper Xtra David,"{'Mon': '00:00', 'Tue': '00:00', 'Wed': '00:00', 'Thu': '00:00', 'Fri': '00:00', 'Sat': '00:00', 'Sun': '00:00'}",,,8.4286563--82.4464512,,
"Sabanitas, Calle Principal, camino Hacia PORTOBELO, edificio XTRA, Local N° 1, frente a la urbanización San Mateo.",Super Xtra,Sabanitas,Colón,"{'brand': 'Super Xtra', 'fascia': 'Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.3554863,-79.8373611,Xtra Market Sabanitas,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-21:00'}}",,,9.3554863--79.8373611,,
" Plaza Cativá, Urb. San Judas Tadeo, Calle Principal. ",Super Xtra,Cativá,Colón,"{'brand': 'Super Xtra', 'fascia': 'Súper Xtra', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.3573479,-79.8443495,Súper Xtra Cativá,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-21:00'}}",,,9.3573479--79.8443495,,
"Plaza Cuatro Altos, Av. Boyd Roosevelt Calle, Cativá",Super Xtra,Cuatro Altos,Colón,"{'brand': 'Super Xtra', 'fascia': 'Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",9.3384778,-79.8803888,Xtra Market Cuatro Altos,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-21:00'}}",,,9.3384778--79.8803888,,
"Plaza Banconal, Carretera Panamericana, Santiago Cabecera",Super Xtra,Santiago Plaza,Veraguas,"{'brand': 'Super Xtra', 'fascia': 'Xtra Market', 'category': 'Filling Station', 'edit_date': '2025-04-07', 'lat_lon_source': 'Website'}",8.105634,-80.9730319,Xtra Market Santiago Plaza,"{'opening_hours': {'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-21:00'}}",,,8.105634--80.9730319,,
