addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
경기 부천시 원미구 석천로 188 이마트중동점 B1층,FootMart,부천시 원미구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",37.5040650740343,126.763949320638,이마트중동점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7123-2002,14547,83,경기,https://www.foot-mart.co.kr/board/view.php?&bdId=footmart&sno=83
인천 중구 인중로 134 이마트 2층,FootMart,중구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",37.4666187184224,126.629178923114,이마트동인천점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7162-2591,22324,89,인천,https://www.foot-mart.co.kr/board/view.php?&bdId=footmart&sno=89
광주광역시 서구 치평동 1326 세정아울렛 154호,FootMart,서구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",35.1464579746866,126.847050956307,광주세정점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7162-2589,61961,9,광주,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EC%84%B8%EC%A0%95&bdId=footmart&sno=9
제주 서귀포시 일주동로 9209 이마트 서귀포점 1층,FootMart,서귀포시,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",33.2483380261564,126.509117350341,이마트서귀포점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",,63572,84,제주특별자치도,https://www.foot-mart.co.kr/board/view.php?&bdId=footmart&sno=84
전북 군산시 수송로 185 롯데마트 3F,FootMart,군산시,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",35.9647795458124,126.716395451512,롯데마트군산점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7162-2805,54091,85,전북특별자치도,https://www.foot-mart.co.kr/board/view.php?&bdId=footmart&sno=85
대전광역시 중구 은행동 142-4,FootMart,중구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",36.3285268457556,127.426901153194,대전은행2호점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7162-2565,34921,6,대전,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EB%8C%80%EC%A0%84&bdId=footmart&sno=6
충북 충주시 중원대로 3420 이마트 3층,FootMart,충주시,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",36.9721057403459,127.923786683304,이마트 충주점,"{'opening_hours': {'Mon': '10:00 - 22:00', 'Tue': '10:00 - 22:00', 'Wed': '10:00 - 22:00', 'Thu': '10:00 - 22:00', 'Fri': '10:00 - 22:00', 'Sat': '10:00 - 22:00', 'Sun': '10:00 - 22:00'}}",070-7162-2554,27407,22,충북,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EC%B2%AD%EC%A3%BC&bdId=footmart&sno=22
대구광역시 중구 동성로 5길 10(동성로 3가 120-16),FootMart,중구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",35.8678331759646,128.59508266136,동성로2호점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7162-2557,41942,5,대구,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EB%8F%99%EC%84%B1%EB%A1%9C&bdId=footmart&sno=5
대구광역시 서구 달구벌대로 1669 1층 (내당동),FootMart,서구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",35.8547364542241,128.54829063546,대구광장점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7162-2802,41855,49,대구,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EB%8C%80%EA%B5%AC%EA%B4%91%EC%9E%A5%EC%A0%90&bdId=footmart&sno=49
서울특별시 금천구 디지털로9길 23 마리오아울렛2관 3층 풋마트,FootMart,금천구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",37.478720573213,126.886476789522,마리오아울렛점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7162-2549,08511,44,서울,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EB%A7%88%EB%A6%AC%EC%98%A4&bdId=footmart&sno=44
"인천광역시 부평구 부평대로20번길 8 (부평동,28호)",FootMart,부평구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",37.4930483342193,126.723618807319,부평점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7162-2553,21394,16,인천,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EB%B6%80%ED%8F%89&bdId=footmart&sno=16
"경기도 안성시 중앙로 398 (서인동,제1호)",FootMart,안성시,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",37.0071030000842,127.270823332547,안성점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7162-2558,17592,14,경기,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EC%95%88%EC%84%B1&bdId=footmart&sno=14
광주광역시 광산구 장덕동 1678 롯데아울렛2층,FootMart,광산구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",35.1902198917639,126.820963611197,롯데광주수완점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",062-616-2017,62225,39,광주,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EA%B4%91%EC%A3%BC&bdId=footmart&sno=39
인천광역시 부평구 청천동 386 1138호~1139호,FootMart,부평구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-05-01', 'lat_lon_source': 'website'}",37.5218444702691,126.703489197669,아이즈빌점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",070-7162-2550,21302,68,인천,https://www.foot-mart.co.kr/board/view.php?&bdId=footmart&sno=68
