addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
광주광역시 광산구 장덕동 1678 롯데아울렛2층,Footmart,광산구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",35.19021989,126.8209636,롯데광주수완점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",롯데광주수완점,62225,39,광주,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EA%B4%91%EC%A3%BC&bdId=footmart&sno=39
광주광역시 서구 치평동 1326 세정아울렛 154호,Footmart,서구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",35.14645797,126.847051,광주세정점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",광주세정점,61961,9,광주,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EC%84%B8%EC%A0%95&bdId=footmart&sno=9
대구광역시 서구 달구벌대로 1669 1층 (내당동),Footmart,서구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",35.85473645,128.5482906,대구광장점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",대구광장점,41855,49,대구,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EB%8C%80%EA%B5%AC%EA%B4%91%EC%9E%A5%EC%A0%90&bdId=footmart&sno=49
전북 군산시 수송로 185 롯데마트 3F,Footmart,군산시,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",35.96477955,126.7163955,롯데마트군산점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",롯데마트군산점,54091,85,전북특별자치도,https://www.foot-mart.co.kr/board/view.php?&bdId=footmart&sno=85
경기 부천시 원미구 석천로 188 이마트중동점 B1층,Footmart,부천시 원미구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.50406507,126.7639493,이마트중동점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",이마트중동점,14547,83,경기,https://www.foot-mart.co.kr/board/view.php?&bdId=footmart&sno=83
대구광역시 중구 동성로 5길 10(동성로 3가 120-16),Footmart,중구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",35.86783318,128.5950827,동성로2호점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",동성로2호점,41942,5,대구,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EB%8F%99%EC%84%B1%EB%A1%9C&bdId=footmart&sno=5
대전광역시 중구 은행동 142-4,Footmart,중구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",36.32852685,127.4269012,대전은행2호점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",대전은행2호점,34921,6,대전,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EB%8C%80%EC%A0%84&bdId=footmart&sno=6
제주 서귀포시 일주동로 9209 이마트 서귀포점 1층,Footmart,서귀포시,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",33.24833803,126.5091174,이마트서귀포점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",이마트서귀포점,63572,84,제주특별자치도,https://www.foot-mart.co.kr/board/view.php?&bdId=footmart&sno=84
경기 부천시 길주로 105 세이브존부천상동점 1층,Footmart,부천시 원미구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.50641967,126.7541475,세이브존 부천상동점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",세이브존 부천상동점,14542,81,경기,https://www.foot-mart.co.kr/board/view.php?&bdId=footmart&sno=81
"인천광역시 부평구 부평대로20번길 8 (부평동,28호)",Footmart,부평구,South Korea,"{'brand': 'Footmart', 'fascia': 'Footmart', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.49304833,126.7236188,부평점,"{'opening_hours': {'Mon': '00:00 - 23:59', 'Tue': '00:00 - 23:59', 'Wed': '00:00 - 23:59', 'Thu': '00:00 - 23:59', 'Fri': '00:00 - 23:59', 'Sat': '00:00 - 23:59', 'Sun': '00:00 - 23:59'}}",부평점,21394,16,인천,https://www.foot-mart.co.kr/board/view.php?memNo=&noheader=&category=&searchField=subject&searchWord=%EB%B6%80%ED%8F%89&bdId=footmart&sno=16
