addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
서울 강남구 자곡로 174-14,K2 Group,서울,South Korea,"{'brand': 'K2 Group', 'fascia': 'K2 Group', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.47213753,127.10320196,T.ALL ABOUT K2(자곡),"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",0232948660,,37.47213753-127.10320196,강남구,https://www.k-village.co.kr/customer/store
광주 서구 상무평화로 89,K2 Group,광주,South Korea,"{'brand': 'K2 Group', 'fascia': 'K2 Group', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",35.14823792,126.84887317,T광주FLAGSHOP,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",0624519448,,35.14823792-126.84887317,서구,https://www.k-village.co.kr/customer/store
경기 평택시 지제중앙로 143-1,K2 Group,경기,South Korea,"{'brand': 'K2 Group', 'fascia': 'K2 Group', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.01837019,127.05942246,KS.평택직영점,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",0316557411,,37.01837019-127.05942246,평택시,https://www.k-village.co.kr/customer/store
경기 평택시 지제중앙로 143-1,K2 Group,경기,South Korea,"{'brand': 'K2 Group', 'fascia': 'K2 Group', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.01837019,127.05942246,ES.평택직영점,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",0316557411,,37.01837019-127.05942246,평택시,https://www.k-village.co.kr/customer/store
서울 중구 명동길 17,K2 Group,서울,South Korea,"{'brand': 'K2 Group', 'fascia': 'K2 Group', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.56384841,126.983223,D 명동직영점,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",027779619,,37.56384841-126.983223,중구,https://www.k-village.co.kr/customer/store
서울 강남구 자곡로 174-14,K2 Group,서울,South Korea,"{'brand': 'K2 Group', 'fascia': 'K2 Group', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.47213753,127.10320196,NORDISK 자곡점,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",0232948660,,37.47213753-127.10320196,강남구,https://www.k-village.co.kr/customer/store
서울 성동구 성수이로22길 60,K2 Group,서울,South Korea,"{'brand': 'K2 Group', 'fascia': 'K2 Group', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.54275543,127.06327049,NORDISK 성수사거리점,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",0234096011,,37.54275543-127.06327049,성동구,https://www.k-village.co.kr/customer/store
서울 강남구 도산대로 311,K2 Group,서울,South Korea,"{'brand': 'K2 Group', 'fascia': 'K2 Group', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.52241005,127.03534949,T도산FLAGSHOP,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",025430322,,37.52241005-127.03534949,강남구,https://www.k-village.co.kr/customer/store
서울 성동구 성수이로22길 60,K2 Group,서울,South Korea,"{'brand': 'K2 Group', 'fascia': 'K2 Group', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.54275543,127.06327049,D ALL ABOUT K2 KOREA 성수사거리점,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",0234096162,,37.54275543-127.06327049,성동구,https://www.k-village.co.kr/customer/store
서울 강남구 자곡로 174-14,K2 Group,서울,South Korea,"{'brand': 'K2 Group', 'fascia': 'K2 Group', 'category': 'Retail', 'edit_date': '2025-04-30', 'lat_lon_source': 'website'}",37.47213753,127.10320196,D ALL ABOUT K2 KOREA 자곡점,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",0232948660,,37.47213753-127.10320196,강남구,https://www.k-village.co.kr/customer/store
