addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
강원 양구군 동면 금강산로 1681,Nenechicken,Yanggu-gun,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",38.2011522172061,128.044627990589,Nenechicken 강원양구군동면점,"{'opening_hours': {'Mon': '12:00-23:00', 'Tue': '12:00-23:00', 'Wed': '12:00-23:00', 'Thu': '12:00-23:00', 'Fri': '12:00-23:00', 'Sat': '12:00-23:00', 'Sun': '12:00-23:00'}}",033-482-2292,24507,90193479,Gangwon-do,https://nenechicken.com/home_shop.asp
경기 구리시 원수택로 25번길 17(수택동) 1층 좌측,Nenechicken,Guri-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.5945739738677,127.139562908759,Nenechicken 경기구리시수택점,"{'opening_hours': {'Mon': '13:00-21:00', 'Tue': '13:00-21:00', 'Wed': '13:00-21:00', 'Thu': '13:00-21:00', 'Fri': '13:00-21:00', 'Sat': '13:00-21:00', 'Sun': '13:00-21:00'}}",031-569-6622,11933,90193613,Gyeonggi-do,https://nenechicken.com/home_shop.asp
경기 광주시 태봉로 20 (태전동),Nenechicken,Gwangju-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.3914746016013,127.231432343471,Nenechicken 경기광주시태전점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",031-767-9200,12785,90192101,Gyeonggi-do,https://nenechicken.com/home_shop.asp
경기도 광주시 오포읍 오포로 347,Nenechicken,Gwangju-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.3437967311418,127.199138774045,Nenechicken 경기광주시오포2호점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",031-765-4456,12774,90196434,Gyeonggi-do,https://nenechicken.com/home_shop.asp
경기 가평군 하면 현창로38번길 2,Nenechicken,Gapyeong-gun,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.8182876826648,127.349847137331,Nenechicken 경기가평군현리점,"{'opening_hours': {'Mon': '15:00-19:00', 'Tue': '15:00-19:00', 'Wed': '15:00-19:00', 'Thu': '15:00-19:00', 'Fri': '15:00-19:00', 'Sat': '15:00-19:00', 'Sun': '15:00-19:00'}}",031-585-9929,12437,90192061,Gyeonggi-do,https://nenechicken.com/home_shop.asp
경기도 가평군 청평면 잠곡로 3,Nenechicken,Gapyeong-gun,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.7372514894794,127.420261484291,Nenechicken 경기가평군청평점,"{'opening_hours': {'Mon': '13:00-23:00', 'Tue': '13:00-23:00', 'Wed': '13:00-23:00', 'Thu': '13:00-23:00', 'Fri': '13:00-23:00', 'Sat': '13:00-23:00', 'Sun': '13:00-23:00'}}",031-584-7679,12452,90190262,Gyeonggi-do,https://nenechicken.com/home_shop.asp
인천 중구 월미로 223 (북성동1가),Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.4760557979575,126.60083397276,Nenechicken 인천중구월미점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",032-777-6119,22302,90196460,,https://nenechicken.com/home_shop.asp
인천 서구 율도로77번길 12 (신현동),Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.5146062938802,126.671996551915,Nenechicken 인천서구신현점(B),"{'opening_hours': {'Mon': '12:00-23:00', 'Tue': '12:00-23:00', 'Wed': '12:00-23:00', 'Thu': '12:00-23:00', 'Fri': '12:00-23:00', 'Sat': '12:00-23:00', 'Sun': '12:00-23:00'}}",032-575-5592,22782,90196686,,https://nenechicken.com/home_shop.asp
인천광역시 부평구 길주남로101번길 4-19 (부개동),Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.5045239395061,126.734927630997,Nenechicken 인천부평구부개점,"{'opening_hours': {'Mon': '17:00-22:00', 'Tue': '17:00-22:00', 'Wed': '17:00-22:00', 'Thu': '17:00-22:00', 'Fri': '17:00-22:00', 'Sat': '17:00-22:00', 'Sun': '17:00-22:00'}}",032-513-0033,21351,90196192,,https://nenechicken.com/home_shop.asp
인천광역시 서구 여우재로 109 (가좌동),Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.4878203051344,126.687806704805,Nenechicken 인천서구가좌점,"{'opening_hours': {'Mon': '18:00-19:00', 'Tue': '18:00-19:00', 'Wed': '18:00-19:00', 'Thu': '18:00-19:00', 'Fri': '18:00-19:00', 'Sat': '18:00-19:00', 'Sun': '18:00-19:00'}}",032-578-9942,22812,90196233,,https://nenechicken.com/home_shop.asp
인천광역시 동구 화도로 15 (화수동),Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.480398980609,126.631018137291,Nenechicken 인천동구송현점,"{'opening_hours': {'Mon': '12:00-22:40', 'Tue': '12:00-22:40', 'Wed': '12:00-22:40', 'Thu': '12:00-22:40', 'Fri': '12:00-22:40', 'Sat': '12:00-22:40', 'Sun': '12:00-22:40'}}",032-777-9292,22521,90196191,,https://nenechicken.com/home_shop.asp
"인천 남동구 소래역서로 10-28 (논현동,1층)",Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.4025636141672,126.73242772612,Nenechicken 인천남동구논현택지점(B),"{'opening_hours': {'Mon': '11:10-21:50', 'Tue': '11:10-21:50', 'Wed': '11:10-21:50', 'Thu': '11:10-21:50', 'Fri': '11:10-21:50', 'Sat': '11:10-21:50', 'Sun': '11:10-21:50'}}",032-433-4479,21673,90196863,,https://nenechicken.com/home_shop.asp
인천광역시 남동구 논곡로 79 (논현동),Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.4145808646942,126.713954378623,Nenechicken 인천남동구논현점,"{'opening_hours': {'Mon': '14:00-23:40', 'Tue': '14:00-23:40', 'Wed': '14:00-23:40', 'Thu': '14:00-23:40', 'Fri': '14:00-23:40', 'Sat': '14:00-23:40', 'Sun': '14:00-23:40'}}",032-446-7590,21636,90196195,,https://nenechicken.com/home_shop.asp
인천 미추홀구 주안로 201 (주안동),Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.463659403958,126.693237764892,Nenechicken 인천미추홀구주안역점,"{'opening_hours': {'Mon': '13:00-23:00', 'Tue': '13:00-23:00', 'Wed': '13:00-23:00', 'Thu': '13:00-23:00', 'Fri': '13:00-23:00', 'Sat': '13:00-23:00', 'Sun': '13:00-23:00'}}",032-435-5533,22142,90196218,,https://nenechicken.com/home_shop.asp
인천 계양구 용마루길 20 (용종동),Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.5423819203703,126.745259604712,Nenechicken 인천계양구계산점,"{'opening_hours': {'Mon': '13:00-23:00', 'Tue': '13:00-23:00', 'Wed': '13:00-23:00', 'Thu': '13:00-23:00', 'Fri': '13:00-23:00', 'Sat': '13:00-23:00', 'Sun': '13:00-23:00'}}",032-556-8278,21062,90196199,,https://nenechicken.com/home_shop.asp
인천광역시 강화군 강화읍 강화대로 248번길 24 1층,Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.7428432472253,126.503890002639,Nenechicken 인천강화군강화1점,"{'opening_hours': {'Mon': '12:00-23:00', 'Tue': '12:00-23:00', 'Wed': '12:00-23:00', 'Thu': '12:00-23:00', 'Fri': '12:00-23:00', 'Sat': '12:00-23:00', 'Sun': '12:00-23:00'}}",032-933-0062,,90196245,,https://nenechicken.com/home_shop.asp
경기도 동두천시 동광로81번길 15 (생연동),Nenechicken,Dongducheon-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.9096358214025,127.058301256009,Nenechicken 경기동두천시중앙점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",031-861-2234,11312,901972052,Gyeonggi-do,https://nenechicken.com/home_shop.asp
대전광역시 대덕구 신탄진동로 1 (신탄진동),Nenechicken,Daejeon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",36.4475864451575,127.430908883694,Nenechicken 대전대덕구신탄진점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",042-935-9285,34319,901972051,,https://nenechicken.com/home_shop.asp
"인천광역시 서구 도요지로189번길 104, 상가동 1층 102호",Nenechicken,Incheon,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.5653420802662,126.673574704585,Nenechicken 인천서구검암점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",032-567-4479,22695,901972050,,https://nenechicken.com/home_shop.asp
경기 파주시 책향기로 369(동패동) 상가동 101호,Nenechicken,Paju-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.7241447379653,126.713486684012,Nenechicken 경기파주시교하점(B),"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",031-946-4479,10885,901972048,Gyeonggi-do,https://nenechicken.com/home_shop.asp
서울특별시 서초구 서초대로50길 90 (서초동) 1층,Nenechicken,Seoul,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.4892714364598,127.014602283167,Nenechicken 서울서초구서초교대점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",02-525-9282,06650,901972047,,https://nenechicken.com/home_shop.asp
경기도 오산시 운천로 99 (오산동),Nenechicken,Osan-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.151689996555,127.075383563051,Nenechicken 경기오산시오산시청점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",031-377-3171,18133,901972046,Gyeonggi-do,https://nenechicken.com/home_shop.asp
"경상북도 포항시 북구 흥해읍 도음로877번길 11, 제 106동 지하층 B2호 (삼도미래타운 1차)",Nenechicken,"Buk-gu, Pohang-si",Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",36.0798326748176,129.331470376114,Nenechicken 경북포항시달전점(B),"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",054-261-8575,37562,901972044,Gyeongsangbuk-do,https://nenechicken.com/home_shop.asp
경기도 용인시 수지구 풍덕천로172번길 3-15,Nenechicken,"Suji-gu, Yongin-si",Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.3257414954353,127.101912511881,Nenechicken 경기용인시풍덕천점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",031-896-6677,16833,901972030,Gyeonggi-do,https://nenechicken.com/home_shop.asp
"경상남도 거제시 중곡로 47, B동 102호(고현동, 세일새시장)",Nenechicken,Geoje-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",34.896923569098,128.630600569677,Nenechicken 경남거제시중곡점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",055-635-5092,53245,901972045,Gyeongsangnam-do,https://nenechicken.com/home_shop.asp
경상남도 김해시 율하1로 12 (율하동),Nenechicken,Gimhae-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",35.1726215759061,128.808338007218,Nenechicken 경남김해시율하1점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",055-321-4418,51019,901972042,Gyeongsangnam-do,https://nenechicken.com/home_shop.asp
"경기도 의정부시 부용로 45,상가동 105호(금오동)",Nenechicken,Uijeongbu-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.7497274367114,127.064197915408,Nenechicken 경기의정부시금오점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",031-847-9670,11751,901972041,Gyeonggi-do,https://nenechicken.com/home_shop.asp
충청남도 천안시 서북구 공대길 10 (신당동) 1층,Nenechicken,"Seobuk-gu, Cheonan-si",Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",36.8498591975003,127.155387085966,Nenechicken 충남천안시신당점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",041-565-8636,31083,901972039,Chungcheongnam-do,https://nenechicken.com/home_shop.asp
부산광역시 부산진구 전포대로300번길 9 (전포동) 1층,Nenechicken,Busan,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",35.1642319984336,129.066711606676,Nenechicken 부산부산진구전포점(B),"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",신청중,47236,901972043,,https://nenechicken.com/home_shop.asp
강원도 강릉시 주문진읍 주문로 11,Nenechicken,Gangneung-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.8847470104282,128.826047234538,Nenechicken 강원강릉시주문진점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",033-661-4488,25419,901972040,Gangwon-do,https://nenechicken.com/home_shop.asp
"경기도 이천시 부발읍 경충대로 2039, 201(현대아미3차아파트 상가)",Nenechicken,Icheon-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.246969811942,127.492429690241,Nenechicken 경기이천시아미점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",031-635-3991,17332,901972038,Gyeonggi-do,https://nenechicken.com/home_shop.asp
경상북도 경주시 금성로396번길 5 (성건동),Nenechicken,Gyeongju-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",35.8531507450372,129.208267231428,Nenechicken 경북경주시성건점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",054-774-9901,38132,901972035,Gyeongsangbuk-do,https://nenechicken.com/home_shop.asp
부산광역시 기장군 정관읍 구연로 42,Nenechicken,Busan,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",35.3209624603143,129.184728350274,Nenechicken 부산기장군정관점,"{'opening_hours': {'Mon': '12:00-23:00', 'Tue': '12:00-23:00', 'Wed': '12:00-23:00', 'Thu': '12:00-23:00', 'Fri': '12:00-23:00', 'Sat': '12:00-23:00', 'Sun': '12:00-23:00'}}",051-728-4492,46023,901972037,,https://nenechicken.com/home_shop.asp
"전라남도 광양시 사동로 81-1, 1층 일부(중동)",Nenechicken,Gwangyang-si,Korea,"{'brand': 'Nenechicken', 'fascia': 'Nenechicken', 'category': 'Restaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",34.9466205901551,127.688023268446,Nenechicken 전남광양시마동점,"{'opening_hours': {'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}}",061-792-8244,57780,901972033,Jeollanam-do,https://nenechicken.com/home_shop.asp
