addr_full,brand,country,extras,lat,lon,name,opening_hours,phone,ref,website
서울특별시 마포구 홍익로 25(서교동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5543861,126.9221238,Shinesegaefood 홍대점,"{'opening_hours': {'Mon': '08:00-02:00', 'Tue': '08:00-02:00', 'Wed': '08:00-02:00', 'Thu': '08:00-02:00', 'Fri': '08:00-02:00', 'Sat': '08:00-02:00', 'Sun': '08:00-02:00'}}",02-322-2731,463,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시 중랑구 동일로 799(중화동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.6018278,127.0791211,Shinesegaefood 중화점,"{'opening_hours': {'Mon': '10:00-02:00', 'Tue': '10:00-02:00', 'Wed': '10:00-02:00', 'Thu': '10:00-02:00', 'Fri': '10:00-02:00', 'Sat': '10:00-02:00', 'Sun': '10:00-02:00'}}",02-432-9906,465,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울시 강남구 영동대로 513 코엑스 동문 1층,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5116621,127.0594275,Shinesegaefood 코엑스점,"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-21:00', 'Sun': '10:00-21:00'}}",02-501-1582,467,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울시 서초구 신반포로 194 고속터미널 경부선(탑승 게이트 쪽),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5056800,127.0058468,Shinesegaefood 고속터미널점,"{'opening_hours': {'Mon': '08:00-23:00', 'Tue': '08:00-23:00', 'Wed': '08:00-23:00', 'Thu': '08:00-23:00', 'Fri': '08:00-23:00', 'Sat': '08:00-23:00', 'Sun': '08:00-23:00'}}",02-532-4260,473,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시 동대문구 회기로 144(회기동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5914454,127.0524479,Shinesegaefood 경희대점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",02-957-4910,475,https://www.shinsegaefood.com/nobrandburger/store/store.sf
인천광역시 연수구 청능대로 210 (동춘동) 스퀘어원 3층,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.4059982,126.6836221,Shinesegaefood 인천스퀘어원점,"{'opening_hours': {'Mon': None, 'Tue': None, 'Wed': None, 'Thu': None, 'Fri': None, 'Sat': None, 'Sun': None}}",032-456-4347,476,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시 서대문구 신촌로 73(창천동) 케이스퀘어 101호,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5563200,126.9345356,Shinesegaefood 신촌점,"{'opening_hours': {'Mon': '10:00-02:00', 'Tue': '10:00-02:00', 'Wed': '10:00-02:00', 'Thu': '10:00-02:00', 'Fri': '10:00-02:00', 'Sat': '10:00-02:00', 'Sun': '10:00-02:00'}}",02-322-2352,482,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시 노원구 동일로204가길 34(중계동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.6407574,127.0682381,Shinesegaefood 중계공원점,"{'opening_hours': {'Mon': '09:00-02:00', 'Tue': '09:00-02:00', 'Wed': '09:00-02:00', 'Thu': '09:00-02:00', 'Fri': '09:00-02:00', 'Sat': '09:00-02:00', 'Sun': '09:00-02:00'}}",02-948-3946,485,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시 강북구 도봉로 32(미아동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.6118504,127.0307281,Shinesegaefood 미아사거리역점,"{'opening_hours': {'Mon': None, 'Tue': None, 'Wed': None, 'Thu': None, 'Fri': None, 'Sat': None, 'Sun': None}}",02-945-5280,489,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시 송파구 양산로 40(거여동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.4924095,127.1443948,Shinesegaefood 거여역점,"{'opening_hours': {'Mon': '09:30-02:00', 'Tue': '09:30-02:00', 'Wed': '09:30-02:00', 'Thu': '09:30-02:00', 'Fri': '09:30-02:00', 'Sat': '09:30-02:00', 'Sun': '09:30-02:00'}}",02-400-4331,490,https://www.shinsegaefood.com/nobrandburger/store/store.sf
경기도 고양시 일산서구 한류월드로 300(대화동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.6645742,126.7545357,Shinesegaefood 원마운트점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",031-911-2918,491,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시 강서구 마곡중앙6로 21(마곡동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5608725,126.8296228,Shinesegaefood 마곡점,"{'opening_hours': {'Mon': '10:00-02:00', 'Tue': '10:00-02:00', 'Wed': '10:00-02:00', 'Thu': '10:00-02:00', 'Fri': '10:00-02:00', 'Sat': '10:00-02:00', 'Sun': '10:00-02:00'}}",02-2063-3909,493,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"서울시 중구 을지로 170, 1층 102호(을지로4가)",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5660745,126.9972676,Shinesegaefood 을지로4가역점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",02-3706-7201,496,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울시 중구 무교로17 (무교동 33-1),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5674081,126.9790555,Shinesegaefood 서울시청점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",02-310-9214,606,https://www.shinsegaefood.com/nobrandburger/store/store.sf
경기도 용인시 수지구 성복2로 58(성복동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.3143791,127.0793978,Shinesegaefood 용인성복점,"{'opening_hours': {'Mon': '10:00-02:00', 'Tue': '10:00-02:00', 'Wed': '10:00-02:00', 'Thu': '10:00-02:00', 'Fri': '10:00-02:00', 'Sat': '10:00-02:00', 'Sun': '10:00-02:00'}}",031-261-4047,608,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시 송파구 삼전로 102(삼전동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5072377,127.0909170,Shinesegaefood 잠실학원사거리점,"{'opening_hours': {'Mon': '10:00-02:00', 'Tue': '10:00-02:00', 'Wed': '10:00-02:00', 'Thu': '10:00-02:00', 'Fri': '10:00-02:00', 'Sat': '10:00-02:00', 'Sun': '10:00-02:00'}}",02-412-1497,611,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"서울특별시 강북구 도봉로 352(번동, 효성네오인텔리안)",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.6386719,127.0270551,Shinesegaefood 수유역점,"{'opening_hours': {'Mon': None, 'Tue': None, 'Wed': None, 'Thu': None, 'Fri': None, 'Sat': None, 'Sun': None}}",02-900-6942,613,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울시 강남구 테헤란로 201(아주빌딩) 1층,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5013152,127.0372017,Shinesegaefood 역삼역점,{'opening_hours': {}},02-501-4506,614,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"경기도안산시단원구고잔로95,상가2동109호,110호(고잔동,힐스테이트중앙)",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.3192991,126.8362613,Shinesegaefood 안산중앙점,"{'opening_hours': {'Mon': '10:00-02:00', 'Tue': '10:00-02:00', 'Wed': '10:00-02:00', 'Thu': '10:00-02:00', 'Fri': '10:00-02:00', 'Sat': '10:00-02:00', 'Sun': '10:00-02:00'}}",031-405-5779,620,https://www.shinsegaefood.com/nobrandburger/store/store.sf
경기도시흥시정왕대로230(정왕동)제일프라자101-1호,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.3449671,126.7385084,Shinesegaefood 시흥정왕점,"{'opening_hours': {'Mon': '09:00-24:00', 'Tue': '09:00-24:00', 'Wed': '09:00-24:00', 'Thu': '09:00-24:00', 'Fri': '09:00-24:00', 'Sat': '09:00-24:00', 'Sun': '09:00-24:00'}}",031-497-5285,621,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"경기도평택시평택2로18,1층(평택동)",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",36.9928119,127.0884872,Shinesegaefood 평택역점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",031-651-0045,622,https://www.shinsegaefood.com/nobrandburger/store/store.sf
경기도김포시풍무로73(풍무동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.6021001,126.7211585,Shinesegaefood 김포풍무점,"{'opening_hours': {'Mon': '10:00-02:00', 'Tue': '10:00-02:00', 'Wed': '10:00-02:00', 'Thu': '10:00-02:00', 'Fri': '10:00-02:00', 'Sat': '10:00-02:00', 'Sun': '10:00-02:00'}}",031-981-6219,624,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"부산광역시금정구부산대학로26,고성빌딩1,2",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",35.2312706,129.0883824,Shinesegaefood 부산대점,"{'opening_hours': {'Mon': '11:00-21:00', 'Tue': '11:00-21:00', 'Wed': '11:00-21:00', 'Thu': '11:00-21:00', 'Fri': '11:00-21:00', 'Sat': '11:00-21:00', 'Sun': '11:00-21:00'}}",051-651-0045,625,https://www.shinsegaefood.com/nobrandburger/store/store.sf
