addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
서울특별시 마포구 홍익로 25(서교동),Shinesegaefood,Seoul,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.5543861,126.9221238,Shinesegaefood 홍대점,"{'opening_hours': {'Mon': '08:00-02:00', 'Tue': '08:00-02:00', 'Wed': '08:00-02:00', 'Thu': '08:00-02:00', 'Fri': '08:00-02:00', 'Sat': '08:00-02:00', 'Sun': '08:00-02:00'}}",02-322-2731,04039,463,,https://www.shinsegaefood.com/nobrandburger/store/store.sf
 서울특별시 중랑구 동일로 799(중화동),Shinesegaefood,Seoul,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.6018278,127.0791211,Shinesegaefood 중화점,"{'opening_hours': {'Mon': '10:00-02:00', 'Tue': '10:00-02:00', 'Wed': '10:00-02:00', 'Thu': '10:00-02:00', 'Fri': '10:00-02:00', 'Sat': '10:00-02:00', 'Sun': '10:00-02:00'}}", 02-432-9906,02017,465,,https://www.shinsegaefood.com/nobrandburger/store/store.sf
 서울시 강남구 영동대로 513 코엑스 동문 1층,Shinesegaefood,Seoul,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.5116621,127.0594275,Shinesegaefood 코엑스점,"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-21:00', 'Sun': '10:00-21:00'}}", 02-501-1582,06164,467,,https://www.shinsegaefood.com/nobrandburger/store/store.sf
 서울시 서초구 신반포로 194 고속터미널 경부선(탑승 게이트 쪽),Shinesegaefood,Seoul,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.5056800,127.0058468,Shinesegaefood 고속터미널점,"{'opening_hours': {'Mon': '08:00-24:00', 'Tue': '08:00-24:00', 'Wed': '08:00-24:00', 'Thu': '08:00-24:00', 'Fri': '08:00-24:00', 'Sat': '08:00-24:00', 'Sun': '08:00-24:00'}}", 02-532-4260,06545,473,,https://www.shinsegaefood.com/nobrandburger/store/store.sf
 서울특별시 동대문구 회기로 144(회기동),Shinesegaefood,Seoul,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.5914454,127.0524479,Shinesegaefood 경희대점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}", 02-957-4910,02459,475,,https://www.shinsegaefood.com/nobrandburger/store/store.sf
 인천광역시 연수구 청능대로 210 (동춘동) 스퀘어원 3층,Shinesegaefood,Incheon,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.4059982,126.6836221,Shinesegaefood 인천스퀘어원점,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}", 032-456-4347,21931,476,,https://www.shinsegaefood.com/nobrandburger/store/store.sf
 서울특별시 서대문구 신촌로 73(창천동) 케이스퀘어 101호,Shinesegaefood,Seoul,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.5563200,126.9345356,Shinesegaefood 신촌점,"{'opening_hours': {'Mon': '10:00-02:00', 'Tue': '10:00-02:00', 'Wed': '10:00-02:00', 'Thu': '10:00-02:00', 'Fri': '10:00-02:00', 'Sat': '10:00-02:00', 'Sun': '10:00-02:00'}}", 02-322-2352,03789,482,,https://www.shinsegaefood.com/nobrandburger/store/store.sf
 서울특별시 노원구 동일로204가길 34(중계동),Shinesegaefood,Seoul,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.6407574,127.0682381,Shinesegaefood 중계공원점,"{'opening_hours': {'Mon': '09:00-02:00', 'Tue': '09:00-02:00', 'Wed': '09:00-02:00', 'Thu': '09:00-02:00', 'Fri': '09:00-02:00', 'Sat': '09:00-02:00', 'Sun': '09:00-02:00'}}", 02-948-3946,01783,485,,https://www.shinsegaefood.com/nobrandburger/store/store.sf
 서울특별시 강북구 도봉로 32(미아동),Shinesegaefood,Seoul,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.6118504,127.0307281,Shinesegaefood 미아사거리역점,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}", 02-945-5280,01220,489,,https://www.shinsegaefood.com/nobrandburger/store/store.sf
 서울특별시 송파구 양산로 40(거여동),Shinesegaefood,Seoul,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250607', 'lat_lon_source': 'Third Party'}",37.4924095,127.1443948,Shinesegaefood 거여역점,"{'opening_hours': {'Mon': '09:30-02:00', 'Tue': '09:30-02:00', 'Wed': '09:30-02:00', 'Thu': '09:30-02:00', 'Fri': '09:30-02:00', 'Sat': '09:30-02:00', 'Sun': '09:30-02:00'}}", 02-400-4331,05773,490,,https://www.shinsegaefood.com/nobrandburger/store/store.sf
