addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"충청남도 서산시 중앙로 59,",S-market,서산시,South Korea,"{'brand': 'S-market', 'fascia': 'S-market', 'category': 'Retail', 'edit_date': '20250430', 'lat_lon_source': 'Third Party'}",36.7800329050363,126.457369533381,서산점,"{'opening_hours': {'Mon': '10:00 - 22:00', 'Tue': '10:00 - 22:00', 'Wed': '10:00 - 22:00', 'Thu': '10:00 - 22:00', 'Fri': '10:00 - 22:00', 'Sat': '10:00 - 22:00', 'Sun': '10:00 - 22:00'}}",041-681-7260,31981,36.7800329050363-126.457369533381,충남,https://www.smarket.co.kr/board/list.php?page=7&bdId=offline
전라북도 전주시 덕진구 시천로 100,S-market,전주시 덕진구,South Korea,"{'brand': 'S-market', 'fascia': 'S-market', 'category': 'Retail', 'edit_date': '20250430', 'lat_lon_source': 'Third Party'}",35.8680524675438,127.114874644435,전주송천점,"{'opening_hours': {'Mon': '10:00 - 21:30', 'Tue': '10:00 - 21:30', 'Wed': '10:00 - 21:30', 'Thu': '10:00 - 21:30', 'Fri': '10:00 - 21:30', 'Sat': '10:00 - 21:30', 'Sun': '10:00 - 21:30'}}",063-278-9947,54827,35.8680524675438-127.114874644435,전북특별자치도,https://www.smarket.co.kr/board/list.php?page=7&bdId=offline
"전라남도 순천시 신월큰길 10,",S-market,순천시,South Korea,"{'brand': 'S-market', 'fascia': 'S-market', 'category': 'Retail', 'edit_date': '20250430', 'lat_lon_source': 'Third Party'}",34.9612230280669,127.520330469854,순천조례점,"{'opening_hours': {'Mon': '10:00 - 22:30', 'Tue': '10:00 - 22:30', 'Wed': '10:00 - 22:30', 'Thu': '10:00 - 22:30', 'Fri': '10:00 - 22:30', 'Sat': '10:00 - 22:30', 'Sun': '10:00 - 22:30'}}",070-4234-5127,57946,34.9612230280669-127.520330469854,전남,https://www.smarket.co.kr/board/list.php?page=7&bdId=offline
"전라남도 순천시 팔마로 222,",S-market,순천시,South Korea,"{'brand': 'S-market', 'fascia': 'S-market', 'category': 'Retail', 'edit_date': '20250430', 'lat_lon_source': 'Third Party'}",34.9399063085361,127.508760872224,순천풍덕점,"{'opening_hours': {'Mon': '10:00 - 22:30', 'Tue': '10:00 - 22:30', 'Wed': '10:00 - 22:30', 'Thu': '10:00 - 22:30', 'Fri': '10:00 - 22:30', 'Sat': '10:00 - 22:30', 'Sun': '10:00 - 22:30'}}",070-7789-5127,57993,34.9399063085361-127.508760872224,전남,https://www.smarket.co.kr/board/list.php?page=7&bdId=offline
"경기도 평택시 경기대로 977,",S-market,,South Korea,"{'brand': 'S-market', 'fascia': 'S-market', 'category': 'Retail', 'edit_date': '20250430', 'lat_lon_source': 'Third Party'}",37.0377891,127.069764,평택점,"{'opening_hours': {'Mon': '10:30 - 22:00', 'Tue': '10:30 - 22:00', 'Wed': '10:30 - 22:00', 'Thu': '10:30 - 22:00', 'Fri': '10:30 - 22:00', 'Sat': '10:30 - 22:00', 'Sun': '10:30 - 22:00'}}",031-668-8688,,37.0377891-127.069764,,https://www.smarket.co.kr/board/list.php?page=6&bdId=offline
대구광역시 북구 동암로12길 8.,S-market,북구,South Korea,"{'brand': 'S-market', 'fascia': 'S-market', 'category': 'Retail', 'edit_date': '20250430', 'lat_lon_source': 'Third Party'}",35.9449268172911,128.555859679587,HP칠곡점,"{'opening_hours': {'Mon': '10:00 - 22:30', 'Tue': '10:00 - 22:30', 'Wed': '10:00 - 22:30', 'Thu': '10:00 - 22:30', 'Fri': '10:00 - 22:30', 'Sat': '10:00 - 22:30', 'Sun': '10:00 - 22:30'}}",070-5219-3024,41422,35.9449268172911-128.555859679587,대구,https://www.smarket.co.kr/board/list.php?page=3&bdId=offline
"광주광역시 북구 동문대로 200, 1층",S-market,북구,South Korea,"{'brand': 'S-market', 'fascia': 'S-market', 'category': 'Retail', 'edit_date': '20250430', 'lat_lon_source': 'Third Party'}",35.1793416468181,126.930416612572,HP동광주플러스점,"{'opening_hours': {'Mon': '10:00 - 22:00', 'Tue': '10:00 - 22:00', 'Wed': '10:00 - 22:00', 'Thu': '10:00 - 22:00', 'Fri': '10:00 - 22:00', 'Sat': '10:00 - 22:00', 'Sun': '10:00 - 22:00'}}",062-267-6245,61165,35.1793416468181-126.930416612572,광주,https://www.smarket.co.kr/board/list.php?page=2&bdId=offline
"인천광역시 부평구 경원대로 1277,",S-market,부평구,South Korea,"{'brand': 'S-market', 'fascia': 'S-market', 'category': 'Retail', 'edit_date': '20250430', 'lat_lon_source': 'Third Party'}",37.4907874287156,126.710005626732,NC부평점,"{'opening_hours': {'Mon': '10:00 - 21:00', 'Tue': '10:00 - 21:00', 'Wed': '10:00 - 21:00', 'Thu': '10:00 - 21:00', 'Fri': '10:00 - 21:00', 'Sat': '10:00 - 21:00', 'Sun': '10:00 - 21:00'}}",070-5219-2995,21384,37.4907874287156-126.710005626732,인천,https://www.smarket.co.kr/board/list.php?page=4&bdId=offline
"전라남도 광양시 항만11로 70,",S-market,광양시,South Korea,"{'brand': 'S-market', 'fascia': 'S-market', 'category': 'Retail', 'edit_date': '20250430', 'lat_lon_source': 'Third Party'}",34.9285053189819,127.694140701816,광양점,"{'opening_hours': {'Mon': '10:00 - 22:30', 'Tue': '10:00 - 22:30', 'Wed': '10:00 - 22:30', 'Thu': '10:00 - 22:30', 'Fri': '10:00 - 22:30', 'Sat': '10:00 - 22:30', 'Sun': '10:00 - 22:30'}}",070-5219-2998,57793,34.9285053189819-127.694140701816,전남,https://www.smarket.co.kr/board/list.php?page=7&bdId=offline
"경기도 파주시 목동동 927,",S-market,파주시,South Korea,"{'brand': 'S-market', 'fascia': 'S-market', 'category': 'Retail', 'edit_date': '20250430', 'lat_lon_source': 'Third Party'}",37.729526175411,126.736765309998,파주운정점,"{'opening_hours': {'Mon': '10:00 - 22:30', 'Tue': '10:00 - 22:30', 'Wed': '10:00 - 22:30', 'Thu': '10:00 - 22:30', 'Fri': '10:00 - 22:30', 'Sat': '10:00 - 22:30', 'Sun': '10:00 - 22:30'}}",070-4755-5120,10892,37.729526175411-126.736765309998,경기,https://www.smarket.co.kr/board/list.php?page=6&bdId=offline
