addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
서울특별시 강남구 영동대로 513 스타필드 코엑스몰 G106-1,Vans,강남구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.511825,127.059296,스타필드 코엑스점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-6002-6056,06164,153,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 강남구 롯데백화점 강남점 본관 7층,Vans,강남구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.4970439,127.053221,롯데 강남점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-531-2257,06206,154,서울특별시,https://www.vans.co.kr/store?isPaging=false
서울특별시 강북구 도봉로 62 롯데백화점미아점 5층,Vans,강북구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.6142617,127.0305166,롯데 미아점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-944-2559,01215,156,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 강동구 천호동 455-8 현대백화점 천호점 7층,Vans,강동구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.538906,127.1243739,현대 천호점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-2225-7950,05328,157,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 중구 명동8길 27 엠플라자 1층,Vans,중구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.56258,126.984997,명동 M Plaza점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-318-7903,04536,158,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 금천구 디지털로 188 W-Mall 6층,Vans,금천구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.4773782,126.8877951,W Mall점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-2081-0626,08513,160,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 노원구 동일로 1414 롯데노원점 8층,Vans,노원구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.6548314,127.0613665,롯데 노원점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-950-2806,01695,161,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 송파구 올림픽로 240 롯데백화점 7층,Vans,송파구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.511286,127.098027,롯데 잠실점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-2143-7763,05554,164,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 서초구 신반포로 176 신세계강남백화점 8층,Vans,서초구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.50532,127.004025,신세계 강남점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-3479-6107,06546,165,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 성동구 왕십리광장로 17 왕십리엔터식스점 지하 1층,Vans,성동구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.5609412,127.0381398,엔터식스 왕십리점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-2200-6109,04750,166,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 성북구 동소문로 315 현대백화점 미아점 6층,Vans,성북구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.6083178,127.0289363,현대 미아점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-2117-2628,02730,167,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 송파구 신천동 29 롯데월드몰 3층,Vans,송파구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.5133846,127.1034636,롯데월드몰점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-3213-4334,05551,168,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 영등포구 영등포동4가 442 타임스퀘어 3층,Vans,영등포구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.5170881,126.9039398,타임스퀘어점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-2638-2617,07305,170,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 용산구 이태원동 176-2 영화빌딩 1층,Vans,용산구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.53446,126.9906885,이태원점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-792-0379,04351,172,서울,https://www.vans.co.kr/store?isPaging=false
서울특별시 중구 을지로 6가 18-12 두산타워 B1 층,Vans,중구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.5688618,127.0086379,두타점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-3398-7179,04563,173,서울,https://www.vans.co.kr/store?isPaging=false
서울시 중구 남대문로 67 롯데백화점 영플라자 1층,Vans,중구,South Korea,"{'brand': 'Vans', 'fascia': 'Vans', 'category': 'Retail', 'edit_date': '20250428', 'lat_lon_source': 'website'}",37.563482,126.9816292,롯데 본점 영플라자점,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': ' ', 'Thu': ' ', 'Fri': ' ', 'Sat': ' ', 'Sun': ' '}}",02-2118-5130,04532,174,서울,https://www.vans.co.kr/store?isPaging=false
