full_addr,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
"High Street, Battle, East Sussex TN33 0AE",Battle,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",50.913708,0.488447,{'opening_hours': {}},0370 333 1181,3744,TN33 0AE,"1066 Battle of Hastings, Abbey and Battlefield",East Sussex,https://www.english-heritage.org.uk/visit/places/1066-battle-of-hastings-abbey-and-battlefield/
"Avebury, Marlborough, Wiltshire SN8 1RF",Marlborough,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.428209,-1.847448,{'opening_hours': {}},01672 539 250,3044,SN8 1RF,Avebury,Wiltshire,https://www.english-heritage.org.uk/visit/places/avebury/
"Off London Road, Saffron Walden, Essex CB11 4JF",Saffron Walden,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.020367,0.222272,{'opening_hours': {}},0370 333 1181,3362,CB11 4JF,Audley End House and Gardens,Essex,https://www.english-heritage.org.uk/visit/places/audley-end-house-and-gardens/
"South Street, Ashby de la Zouch, Leicestershire LE65 1BR",Ashby de la Zouch,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.745853,-1.468747,{'opening_hours': {}},01530 413343,2561,LE65 1BR,Ashby de la Zouch Castle,Leicestershire,https://www.english-heritage.org.uk/visit/places/ashby-de-la-zouch-castle/
"Auckland Castle Deer Park, Bishop Auckland, Co Durham DL14 7QJ",Bishop Auckland,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.669146,-1.665658,{'opening_hours': {}},,2964,DL14 7QJ,Auckland Castle Deer House,Co Durham,https://www.english-heritage.org.uk/visit/places/auckland-castle-deer-house/
"Castle Road, Baconsthorpe, Norfolk NR25 6LL",Baconsthorpe,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.898823,1.150687,{'opening_hours': {}},,2373,NR25 6LL,Baconsthorpe Castle,Norfolk,https://www.english-heritage.org.uk/visit/places/baconsthorpe-castle/
"Off Aydon Road, Corbridge, Northumberland NE45 5PJ",Corbridge,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.99196,-1.998328,{'opening_hours': {}},01434 632450,3135,NE45 5PJ,Aydon Castle,Northumberland,https://www.english-heritage.org.uk/visit/places/aydon-castle/
"149 Piccadilly, Hyde Park Corner, London W1J 7NT",Hyde Park Corner,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.503443,-0.151703,{'opening_hours': {}},0207 499 5676 ,3568,W1J 7NT,Apsley House,London,https://www.english-heritage.org.uk/visit/places/apsley-house/
"Long Rake, Bakewell, Derbyshire DE45 1JS",Bakewell,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",53.168242,-1.762158,{'opening_hours': {}},01629 816200,3623,DE45 1JS,Arbor Low Stone Circle and Gib Hill Barrow,Derbyshire,https://www.english-heritage.org.uk/visit/places/arbor-low-stone-circle-and-gib-hill-barrow/
"Arthur&#39;s Stone Lane , Hereford, Herefordshire HR3 6AX",Hereford,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.082416,-2.993272,{'opening_hours': {}},,3040,HR3 6AX,Arthur&#39;s Stone,Herefordshire,https://www.english-heritage.org.uk/visit/places/arthurs-stone/
", Hunting Way, Northamptonshire PE8 5DJ",Hunting Way,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.5474575,-0.49206,{'opening_hours': {}},0370 333 1181,3542,PE8 5DJ,Apethorpe Palace,Northamptonshire,https://www.english-heritage.org.uk/visit/places/apethorpe-palace/
