address_full,city,country,brand,extras,lat,lon,day_opening_status,phone,ref,post_code,name,state,website
"Coast Guard Lane, Chichester, West Sussex, PO20 8AJ",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.78114,-0.903841,,+441243814730,6058,PO20 8AJ,East Head,,https://www.nationaltrust.org.uk/visit/sussex/east-head
"Lavington Common Car Park, Duncton Common Road, Duncton, West Sussex, GU28 0QL",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.9601325,-0.6503195,FULLY_OPEN,+441730816638,6060,GU28 0QL,Lavington Common,,https://www.nationaltrust.org.uk/visit/sussex/lavington-common
"Marley Common Car Park, Marley Lane, Haslemere, GU27 3PU",Haslemere,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.073106,-0.7356069,FULLY_OPEN,+441730816638,6061,GU27 3PU,Marley Common,,https://www.nationaltrust.org.uk/visit/sussex/marley-common
"Near Findon, West Sussex, BN14 0HT",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.86014,-0.37932,FULLY_OPEN,+441273857712,6056,BN14 0HT,Cissbury Ring,,https://www.nationaltrust.org.uk/visit/sussex/cissbury-ring
"East Sussex, BN26 5TT",East Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.78974,0.139652,FULLY_OPEN,+441323423197,5432,BN26 5TT,Cuckmere Valley,,https://www.nationaltrust.org.uk/visit/sussex/cuckmere-valley
"Saddlescombe Road, near Brighton, West Sussex, BN45 7DE",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.888979,-0.1943217,FULLY_OPEN,+441273857712,5253,BN45 7DE,Saddlescombe Farm and Newtimber Hill,,https://www.nationaltrust.org.uk/visit/sussex/saddlescombe-farm-and-newtimber-hill
"Woolbeding Common, Older Hill Lane, Redford, West Sussex, GU29 0QE",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.0271,-0.761295,FULLY_OPEN,+441730816638,6064,GU29 0QE,Woolbeding Countryside,,https://www.nationaltrust.org.uk/visit/sussex/woolbeding-countryside
"Enter Estate behind the cricket pavillion, Sheepwash Meadow, Singleton, West Sussex, PO18 0HA",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.9111971,-0.7571577,,+441243814730,6057,PO18 0HA,Drovers Estate,,https://www.nationaltrust.org.uk/visit/sussex/drovers-estate
"Lewes, East Sussex",Lewes,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.895237,-0.04667,FULLY_OPEN,+441323423197,6054,,Blackcap,,https://www.nationaltrust.org.uk/visit/sussex/blackcap
"Devil's Dyke, Nr Brighton, West Sussex",Nr Brighton,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.8845954,-0.2123548,FULLY_OPEN,+441273857712,5204,,Devil's Dyke,,https://www.nationaltrust.org.uk/visit/sussex/devils-dyke
"near Ditchling, East Sussex",near Ditchling,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.90084,-0.105186,FULLY_OPEN,+441323423197,6065,,Ditchling Beacon,,https://www.nationaltrust.org.uk/visit/sussex/ditchling-beacon
"Black Down, Tennyson's Lane, Haslemere, Surrey, GU27 3AF",Surrey,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.0700074,-0.6873412,FULLY_OPEN,+441730816638,6055,GU27 3AF,Black Down,,https://www.nationaltrust.org.uk/visit/sussex/black-down
"Harting Down (off B2141), South Harting, Petersfield, GU31 5PW",Petersfield,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.9565598,-0.875635,FULLY_OPEN,+441730816638,6059,GU31 5PW,Harting Down,,https://www.nationaltrust.org.uk/visit/sussex/harting-down
"Ardingly, Haywards Heath, West Sussex, RH17 6TN",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.064999,-0.08934,,+441444894066,350,RH17 6TN,Wakehurst,,https://www.nationaltrust.org.uk/visit/sussex/wakehurst
"West Street, Rye, East Sussex, TN31 7ES",East Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.949699,0.73426,FULLY_OPEN,+441797222909,195,TN31 7ES,Lamb House,,https://www.nationaltrust.org.uk/visit/sussex/lamb-house
"Bodiam, near Robertsbridge, East Sussex, TN32 5UA",East Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.000099,0.54741,FULLY_OPEN,+441580830196,42,TN32 5UA,Bodiam Castle,,https://www.nationaltrust.org.uk/visit/sussex/bodiam-castle
"West Hoathly Road, East Grinstead, West Sussex, RH19 4NE",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.103506,-0.01664,FULLY_OPEN,+441342323029,311,RH19 4NE,Standen House and Garden,,https://www.nationaltrust.org.uk/visit/sussex/standen-house-and-garden
"Handcross, near Haywards Heath, West Sussex, RH17 6EB",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.05228,-0.1993913,FULLY_OPEN,+441444405250,243,RH17 6EB,Nymans,,https://www.nationaltrust.org.uk/visit/sussex/nymans
"Petworth House and Park, Petworth, West Sussex, GU28 9LR",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.9945,-0.6114256,FULLY_OPEN,+441798342207,260,GU28 9LR,Petworth,,https://www.nationaltrust.org.uk/visit/sussex/petworth
"The Tye, Alfriston, Polegate, East Sussex, BN26 5TL",East Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.80616,0.15777,CLOSED,+441323871961,6,BN26 5TL,Alfriston Clergy House,,https://www.nationaltrust.org.uk/visit/sussex/alfriston-clergy-house
"Sheffield Park, Uckfield, East Sussex, TN22 3QX",East Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.0,0.0094,FULLY_OPEN,+441825790231,295,TN22 3QX,Sheffield Park and Garden,,https://www.nationaltrust.org.uk/visit/sussex/sheffield-park-and-garden
