addr_full,city,country,brand,extras,lat,lon,opening_hours,name,phone,ref,postCode,state,website
"Westfield Geelong, Shop 105/6/7,",Geelong,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-38.147284,144.362275,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-21:00', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Geelong,(03) 5229 1927,50114,3220,VIC,https://www.lululemon.com.au/en-au/store-locator
36 Ocean Beach Road,Sorrento,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-38.33888,144.740354,"{'Mon': '10:00-17:00', 'Tue': '10:00-17:00', 'Wed': '10:00-17:00', 'Thu': '10:00-17:00', 'Fri': '10:00-17:00', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Sorrento,(03) 5984 2658,50070,3943,VIC,https://www.lululemon.com.au/en-au/store-locator
2 Church Street,Brighton,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.912041,144.992213,"{'Mon': '09:30-17:30', 'Tue': '09:30-17:30', 'Wed': '09:30-17:30', 'Thu': '09:30-17:30', 'Fri': '09:30-17:30', 'Sat': '09:30-17:30', 'Sun': '10:00-17:00'}",Brighton,(03) 9591 0450,50088,3186,VIC,https://www.lululemon.com.au/en-au/store-locator
120-200 Rosamond Road,Maribyrnong,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.7733,144.888735,"{'Mon': '09:00-18:00', 'Tue': '09:00-18:00', 'Wed': '09:00-18:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-19:00', 'Sun': '10:00-18:00'}",Highpoint,(03) 9317 0187,50090,3032,VIC,https://www.lululemon.com.au/en-au/store-locator
256-260 Chapel Street,Prahran,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.849632,144.993983,"{'Mon': '10:00-18:00', 'Tue': '10:00-18:00', 'Wed': '10:00-18:00', 'Thu': '10:00-18:00', 'Fri': '10:00-18:00', 'Sat': '09:00-18:00', 'Sun': '10:00-17:00'}",Chapel Street,(03) 9510 0277,50050,3181,VIC,https://www.lululemon.com.au/en-au/store-locator
287 Lonsdale Street,Melbourne,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.812445,144.963875,"{'Mon': '10:00-19:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-19:00', 'Sun': '10:00-19:00'}",Emporium,(03) 9654 9561,50102,3000,VIC,https://www.lululemon.com.au/en-au/store-locator
1085-1092 High Street,Armadale,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.85556,145.023616,"{'Mon': '09:30-17:30', 'Tue': '09:30-17:30', 'Wed': '09:30-17:30', 'Thu': '09:30-17:30', 'Fri': '09:30-18:00', 'Sat': '09:30-18:00', 'Sun': '09:30-17:00'}",Armadale,03 9822 4216,50117,3143,Victoria,https://www.lululemon.com.au/en-au/store-locator
250 Centre Dandenong Road,Moorabbin Airport,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.96984,145.087626,"{'Mon': '10:00-18:00', 'Tue': '10:00-18:00', 'Wed': '10:00-18:00', 'Thu': '10:00-18:00', 'Fri': '10:00-18:00', 'Sat': '10:00-18:00', 'Sun': '10:00-18:00'}",Moorabbin Factory Outlet,(03) 9583 7583,50047,3194,VIC,https://www.lululemon.com.au/en-au/store-locator
131-143 Smith St,Fitzroy,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.804514,144.982983,"{'Mon': '10:00-17:30', 'Tue': '10:00-17:30', 'Wed': '10:00-17:30', 'Thu': '10:00-17:30', 'Fri': '10:00-17:30', 'Sat': '10:00-17:30', 'Sun': '10:00-17:30'}",Collingwood Factory Outlet,(03) 8436 1898,50049,3065,VIC,https://www.lululemon.com.au/en-au/store-locator
1341 Dandenong Road,Chadstone,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.886547,145.083108,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-21:00', 'Sun': '10:00-19:00'}",Chadstone Shopping Centre,(03) 9568 7191,50067,3148,VIC,https://www.lululemon.com.au/en-au/store-locator
