area,sub_area,shop_id,shop_name_en,url_param,link_url,address_en,description_en,tel,image_url,id,name_en,tel_en
Tokyo,Harajuku,1,BEAMS HARAJUKU,h,/global/shop/h/,"1F/2F, 3-24-7 Jingumae, Shibuya-ku, Tokyo","BEAMS HARAJUKU, the original BEAMS shop, has been the flagship shop for men's fashion and lifestyles since 1976.",03 3470 3947,//cdn-cms.beams.co.jp/cdn/cms/shop/1/list_ObBCuI.jpg,1,BEAMS HARAJUKU,03 3470 3947
Tokyo,Harajuku,3,BEAMS F / International Gallery BEAMS,fig,/global/shop/fig/,"1F-2F, 3-25-15 Jingumae, Shibuya-ku, Tokyo","The flagship store of the label “BEAMS F” ”International Gallery BEAMS”, bringing together style trends from around the world. ",03-3470-3946 (BEAMS F) / 03-3470-3948 (International Gallery BEAMS),//cdn-cms.beams.co.jp/cdn/cms/shop/3/list_qTofo1.jpg,3,BEAMS F / International Gallery BEAMS,03-3470-3946 (BEAMS F) / 03-3470-3948 (International Gallery BEAMS)
Tokyo,Harajuku,2,BEAMS WOMEN HARAJUKU,hw,/global/shop/hw/,"B1F Jingumae Terrace, 3-25-15 Jingumae, Shibuya-ku Tokyo","Re-editing the items from the women's labels ""Ray BEAMS"" and ""BEAMS BOY,"" this shop presents an original style through mixing trends from international collections and a Tokyo street mood.",03 5413 6415 / 03-5771-5745(Vermeerist BEAMS),//cdn-cms.beams.co.jp/cdn/cms/shop/2/list_r2m0U0.jpg,2,BEAMS WOMEN HARAJUKU,03 5413 6415 / 03-5771-5745(Vermeerist BEAMS)
Tokyo,Harajuku,4,BEAMS BOY HARAJUKU,hry,/global/shop/hry/,"1F, 3-25-14 Jingumae, Shibuya-ku, Tokyo","BEAMS BOY specializes in men's-like clothing for women. Work, military, sports, ivy league, and all other authentic American style fashions are offered with the BEAMS BOY touch.",03 5770 5550,//cdn-cms.beams.co.jp/cdn/cms/shop/4/list_d81Y7s.jpg,4,BEAMS BOY HARAJUKU,03 5770 5550
Tokyo,Harajuku,5,BEAMS PLUS HARAJUKU,bph,/global/shop/bph/,"1F, 3-25-12 Jingumae, Shibuya-ku, Tokyo","BEAMS PLUS HARAJUKU pursues the starting point of men's casual fashion with ""long-lasting men's clothes"" as its theme. We provide a wide variety of fashion, including authentic casual fashion to general-use items.",03 3746 5851,//cdn-cms.beams.co.jp/cdn/cms/shop/5/list_uBoItk.jpg,5,BEAMS PLUS HARAJUKU,03 3746 5851
Tokyo,Harajuku,9,BEAMS RECORDS,hbr,/global/shop/hbr/,"1F, 3-25-15 Jingumae, Shibuya-ku, Tokyo",All CDs and analog records can be played before purchase. We have a treasure of unique and timeless music for everyone.,03 3746 0789,//cdn-cms.beams.co.jp/cdn/cms/shop/9/list_7R11Lg.jpg,9,BEAMS RECORDS,03 3746 0789
Tokyo,Harajuku,7,BEAMS T HARAJUKU,hbt,/global/shop/hbt/,"1F, 3-25-15 Jingumae, Shibuya-ku, Tokyo","With ""Art for Everyday"" as our concept, BEAMS T HARAJUKU expresses art in everyday life using t-shirts as canvases. We also hold exhibitions every year to provide a place where artists and customers can come mingle.",03 3470 8601,//cdn-cms.beams.co.jp/cdn/cms/shop/7/list_wVLNKt.jpg,7,BEAMS T HARAJUKU,03 3470 8601
Tokyo,Harajuku,11,Uniform Circus BEAMS,uc,/global/shop/uc/,"3F, 1-5-8 Jingumae, Shibuya-ku, Tokyo","Uniform Circus BEAMS makes event merchandise, company and sport team uniforms, and other novelty items based on our customers' requests.",03-3470-9393,//cdn-cms.beams.co.jp/cdn/cms/shop/11/list_AmWu0I.jpg,11,Uniform Circus BEAMS,03-3470-9393
Tokyo,Harajuku,215,BEAMS KOUBOU,bkoubou,/global/shop/bkoubou/,"2F, 3-25-15 jingumae shibuya-ku Tokyo","A repair shop that proposes the best repairs, care, remakes, and customs for each person.",080 9703 9379,//cdn-cms.beams.co.jp/cdn/cms/shop/215/list_hKSbpC.jpg,215,BEAMS KOUBOU,080 9703 9379
Tokyo,Harajuku,238,BEAMS HARAJUKU ANNEX,ha,/global/shop/ha/,1F 3-24-5 Jingumae Shibuya-ku Tokyo,"This is the actual store of ""FUTURE ARCHIVE"", a project led by a new generation that creates a ""future archive"" that will not fade 10 or 20 years from now.",03 3470 8452,//cdn-cms.beams.co.jp/cdn/cms/shop/238/list_ZLVgoP.jpg,238,BEAMS HARAJUKU ANNEX,03 3470 8452
Tokyo,Shibuya,13,Pilgrim Surf+Supply TOKYO,pss,/global/shop/pss/,"1F, 1-14-7 Jinnan, Shibuya-ku, Tokyo","The first Japanese flagship store of ""Pilgrim Surf+Supply,"" a select shop from Brooklyn, New York. The shop follows the concept of ""a dual life that combines both nature and urban,"" and proposes a lifestyle of outdoor activities with a focus on surf filtered through the scope of American East Coast culture. Not limited to fashion apparel only, the shop offers a wide variety of content that includes activities as well.",03 5459 1690,//cdn-cms.beams.co.jp/cdn/cms/shop/13/list_1R4jQr.jpg,13,Pilgrim Surf+Supply TOKYO,03 5459 1690
Tokyo,Shibuya,10,BEAMS MEN SHIBUYA,s,/global/shop/s/,"1F/2F, 1-15-1 Jinnan, Shibuya-ku, Tokyo","Spread out over 2 floors, BEAMS SHIBAYA categorizes men's clothing not by age groups, but by style and feel.",03 3780 5500,//cdn-cms.beams.co.jp/cdn/cms/shop/10/list_sgiBFA.jpg,10,BEAMS MEN SHIBUYA,03 3780 5500
Tokyo,Shibuya,200,BEAMS JAPAN SHIBUYA,js,/global/shop/js/,"TOKYU PLAZA SHIBUYA 2F, 1-2-3 Dogenzaka, Shibuya-ku, Tokyo","This shop is the hub from which BEAMS ""TEAM JAPAN"", a project to curate content across a broad range of categories based on the keyword of ""Japan"", sets new trends. The shop categories such as ""Food"", ""Brand items"", ""Fashion"", ""Collaborations"", ""Culture"", ""Art"", and ""Crafts"". The shop as a whole acts to transmit these various attractive aspects of Japan both nationwide and around the world.",03 5422 3974,//cdn-cms.beams.co.jp/cdn/cms/shop/200/list_60iHcB.jpg,200,BEAMS JAPAN SHIBUYA,03 5422 3974
Tokyo,Ebisu,16,BEAMS EBISU,ebs,/global/shop/ebs/,"Atre Ebisu 4F, 1-5-5 Ebisu-Minami, Shibuya-ku, Tokyo","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",03 5447 7061,//cdn-cms.beams.co.jp/cdn/cms/shop/16/list_Ym279R.jpg,16,BEAMS EBISU,03 5447 7061
Tokyo,Daikanyama,21,Kodomo BEAMS,kd,/global/shop/kd/,"1F, 19-7 Sarugakucho, Shibuya-ku, Tokyo","Kodomo BEAMS was opened in September, 2008, in Daikanyama to give children the chance to expand their creativity and sensitivity through our products, events and workshops. We intorduce children's clothes that create a happy lifestyle for both children and their parents.",03 5428 4844,//cdn-cms.beams.co.jp/cdn/cms/shop/21/list_RMgeYr.jpg,21,Kodomo BEAMS,03 5428 4844
Tokyo,Ginza,17,BEAMS GINZA,gnz,/global/shop/gnz/,"2F/3F, 4-4-1 Ginza, Chuo-ku, Tokyo",We display a wide variety of clothes from business clothes that suit the streets of Ginza to casual clothes for borderless fashion.,03 3567 2223（2F Casual）／ 03 3567 2224（3F Formal）,//cdn-cms.beams.co.jp/cdn/cms/shop/17/list_ksNFTn.jpg,17,BEAMS GINZA,03 3567 2223（2F Casual）／ 03 3567 2224（3F Formal）
Tokyo,Marunouchi,37,BEAMS HOUSE MARUNOUCHI,bhm,/global/shop/bhm/,"MARUNOUCHI Bldg. 1F, 2-4-1 Marunouchi, Chiyoda-ku, Tokyo",We introduce a new formal and casual style for the new generation in our high quality and spacious shop. Our products and services such as individual tailoring and dress rentals target adults.,03 5220 8686,//cdn-cms.beams.co.jp/cdn/cms/shop/37/list_9EogkT.jpg,37,BEAMS HOUSE MARUNOUCHI,03 5220 8686
Tokyo,Marunouchi,41,BEAMS PLUS MARUNOUCHI,bpm,/global/shop/bpm/,"Marunouchi Nakadori Bldg. 1F, 2-2-3 Marunouchi, Chiyoda-ku Tokyo","Our customers can browse traditional American clothes and shoes in a shop like Ernest Hemingway's summer house. Suits, a company that counts American Presidents among its customers, a collection of original suits, jackets, and ties are displayed. We also take pattern orders.",03 5220 3151,//cdn-cms.beams.co.jp/cdn/cms/shop/41/list_BSb5Lv.jpg,41,BEAMS PLUS MARUNOUCHI,03 5220 3151
Tokyo,Marunouchi,38,BEAMS SHIN-MARUNOUCHI,smb,/global/shop/smb/,"SHIN-MARUNOUCHI Bldg. 3F, 1-5-1 Marunouchi, Chiyoda-ku, Tokyo",Casual clothes and items for grown-up weekends starting with BEAMS LIGHTS can be found at BEAM SHIN-MARUNOUCHI.,03 5288 7670,//cdn-cms.beams.co.jp/cdn/cms/shop/38/list_W03Koc.jpg,38,BEAMS SHIN-MARUNOUCHI,03 5288 7670
Tokyo,Marunouchi,39,BEAMS GOLF DAIMARU TOKYO,dtg,/global/shop/dtg/,"DAIMARU TOKYO 11F, 1-9-1 Marunouchi, Chiyoda-ku, Tokyo","A store specializing in the BEAMS GOLF produce line, our label providing unique, fashionable and functional BEAMS golf styles.",03 5218 2210,//cdn-cms.beams.co.jp/cdn/cms/shop/39/list_w4mM8j.jpg,39,BEAMS GOLF DAIMARU TOKYO,03 5218 2210
Tokyo,Yurakucho,42,BEAMS GOLF YURAKUCHO,yg,/global/shop/yg/,"Yurakucho Denki Bldg. 1F, 1-7-1 Yurakucho, Chiyoda-ku, Tokyo","A BEAMS GOLF shop, an original brand that proposes a golf wear style that is both fashionable and functional, and unique to BEAMS. You'll find a full line up of carefully selected imported items, as well as items from collaborations with popular fashion brands.",03 5221 6001,//cdn-cms.beams.co.jp/cdn/cms/shop/42/list_bBAyIG.jpg,42,BEAMS GOLF YURAKUCHO,03 5221 6001
Tokyo,Roppongi,45,BEAMS HOUSE ROPPONGI,bhr,/global/shop/bhr/,"TOKYO MIDTOWN·Galleria 1F, 9-7-3 Akasaka, Minato-ku, Tokyo",BEAMS HOUSE ROPPONGI is a chic shop for adults who enjoy their own fashion and lifestyle. We provide comfortable services and products in a shop with a classical and sedate mood.,03 5413 7690,//cdn-cms.beams.co.jp/cdn/cms/shop/45/list_5Gx6i0.jpg,45,BEAMS HOUSE ROPPONGI,03 5413 7690
