addr_full,brand,city,country,extras,lat,long,name,opening_hours,phone,postcode,ref,state,website
〒220-8601 横浜市西区南幸1-6-31 髙島屋横浜店 2Ｆ,brunellocucinelli,Yokohama,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.458316', 'lat_lon_source': 'website'}",35.465702,139.62099,Yokohama Takashimaya Men’s and Women’s,{'Monday-Sunday': '10am - 08pm'},+81 45-565-9905,220-8601,736,,/en-us/yokohama-takashimaya-736.html
〒600-8520京都府京都市下京区西入真町52 髙島屋京都店2Fインターナショナルブディック,brunellocucinelli,京都,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.462067', 'lat_lon_source': 'website'}",35.003154,135.768246,Kyoto Takashimaya,{},+81 75 252 7093,600-8520,706,,/en-us/kyoto-706.html
〒460-8430愛知県名古屋市中区栄3-16-1 松坂屋名古屋店 北館GENTA1階,brunellocucinelli,名古屋,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.463867', 'lat_lon_source': 'website'}",35.165391,136.90835,Nagoya Matsuzakaya Men’s Boutique,{'月～日、午前10': '00時 ～午後8:00時'},+81 52 264 2379,460-8430,733,,/en-us/nagoya-733.html
〒460-8430 愛知県名古屋市中区栄3-16-1 松坂屋名古屋店 本館2階,brunellocucinelli,名古屋,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.465150', 'lat_lon_source': 'website'}",35.165351,136.907884,Nagoya Matsuzakaya Women's Boutique,{},+81 52 264 2082,460-8430,707,,/en-us/nagoya-707.html
〒530-0017 大阪府大阪市北区角田町7-10-3 阪急メンズ大阪 3F,brunellocucinelli,大阪,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.466395', 'lat_lon_source': 'website'}",34.702864,135.498496,Osaka Hankyu Men's Boutique,{},+81 6 6312 0010,530-8350,720,,/en-us/osaka-720.html
〒542-8501大阪府 大阪市 中央区 心斎橋筋1-7-1 本館 2F,brunellocucinelli,大阪,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.469371', 'lat_lon_source': 'website'}",34.67314,135.500913,Osaka Shinsaibashi Daimaru Men's and Women's Boutique,{'Monday-Sunday 10am - 8': '00pm'},+81 6 6251 2087,542-8501,705,,/en-us/osaka-705.html
〒542-0076 大阪府 大阪市中央区難波5-1-5髙島屋大阪店2F インターナショナルブティック,brunellocucinelli,大阪,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.470571', 'lat_lon_source': 'website'}",34.663854,135.501967,Osaka Takashimaya Men's and Women's Boutique,{},+81 6 6632 9339,542-0076,710,,/en-us/osaka-710.html
〒530-8350 大阪府大阪市北区角田町8-7 阪急うめだ本店 5F インターナショナルブティックス,brunellocucinelli,大阪,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.470571', 'lat_lon_source': 'website'}",34.702864,135.498496,Osaka Umeda Hankyu Women’s Boutique,{},+81 6 6313 0506,530-8350,714,,/en-us/osaka-714.html
〒730-8548 広島県広島市中区胡町6-26 福屋八丁堀本店 3F,brunellocucinelli,広島,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.470571', 'lat_lon_source': 'website'}",34.39353,132.46255,Hiroshima Hacchobori Fukuya,{'Monday-Sunday 10': '30am - 7:00pm'},+81 82 246 6305,730-8548,717,,/en-us/hiroshima-717.html
〒060-0061 北海道札幌市中央区南１条西3-8 札幌三越 本館5F 特選ブティック,brunellocucinelli,札幌,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.475152', 'lat_lon_source': 'website'}",43.059402,141.353013,Sapporo Mitsukoshi Men's and Women's Boutique,{},+81 1  1242 5288,060-0061,715,,/en-us/sapporo-715.html
〒104-0061 東京都中央区銀座6-7-12,brunellocucinelli,東京,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.475680', 'lat_lon_source': 'website'}",35.670081,139.762271,Tokyo Ginza,{},+81  3 5537 7080,104-0061,704,,/en-us/tokyo-704.html
〒104-8212 東京都中央区銀座4-6-16 銀座三越 6F,brunellocucinelli,東京,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.477541', 'lat_lon_source': 'website'}",35.67136,139.76354,Tokyo Ginza Mitsukoshi Men's Boutique,{},+81 3 3535 6390,104-8212,713,,/en-us/tokyo-713.html
〒100-8488 東京都千代田区有楽町2-5-1 阪急メンズ東京 3F,brunellocucinelli,東京,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.477541', 'lat_lon_source': 'website'}",35.673655,139.760276,Tokyo Hankyu Men's Tokyo Boutique,{},+81 3 6252 5432,100-8488,723,,/en-us/tokyo-723.html
〒103-8001 東京都中央区日本橋室町1-4-1 日本橋三越本店 本館2F,brunellocucinelli,東京,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.480845', 'lat_lon_source': 'website'}",35.685596,139.77338,Tokyo Nihonbashi Mitsukoshi Men’s Boutique,{},+81 3 3278 8011,103-8001,719,,/en-us/tokyo-719.html
〒103-8001 東京都中央区日本橋室町1-4-1 日本橋三越本店 本館3F,brunellocucinelli,東京,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.482233', 'lat_lon_source': 'website'}",35.685596,139.77338,Tokyo Nihonbashi Mitsukoshi Women's Boutique,{},+81 3 3278 6805,103-8001,712,,/en-us/tokyo-712.html
〒103-8265 東京都中央区日本橋2-4-1 高島屋日本橋店本館2F,brunellocucinelli,東京,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.483420', 'lat_lon_source': 'website'}",35.680824,139.773435,Tokyo Nihonbashi Takashimaya,{'Monday-Sunday 10': '30am - 7:00pm'},+81 3 3231 2725,103-8265,708,,/en-us/tokyo-708.html
〒107-0062 東京都港区南青山3-17-11,brunellocucinelli,東京,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.484700', 'lat_lon_source': 'website'}",35.664273,139.713896,Tokyo Omotesando,{'Monday-Sunday 11': '00 ~ 20:00'},+81 3 6434 9520,107-0062,731,,/en-us/tokyo-omotesando-731.html
〒171-8569東京都豊島区南池袋1-28-1 西武池袋本店 8F 南A11,brunellocucinelli,東京,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.486921', 'lat_lon_source': 'website'}",35.729078,139.711679,Tokyo Seibu Ikebukuro Men's and Women's Boutique,{'Monday-Saturday 10am - 9': '00pm \nSunday and Holidays 10am - 8pm'},+81  3 5949 2782,171-8569,727,,/en-us/tokyo-727.html
〒160-0022東京都新宿区新宿3-14-1 伊勢丹新宿店 メンズ館4階 インターナショナルラグジュアリー,brunellocucinelli,東京,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.489050', 'lat_lon_source': 'website'}",35.691684,139.703416,Tokyo Shinjuku Isetan Men's boutique,{},+81 3 6709 9750,160-0022,718,,/en-us/tokyo-718.html
〒160-0022 東京都新宿区新宿3-14-1 伊勢丹新宿店 本館4F インターナショナルラグジュアリー,brunellocucinelli,東京,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.490735', 'lat_lon_source': 'website'}",35.691684,139.703416,Tokyo Shinjuku Isetan Women's boutique,{},+81 3 6709 8189,160-0022,711,,/en-us/tokyo-711.html
〒650-0037 兵庫県神戸市中央区明石町 31-1 Block31,brunellocucinelli,神戸,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.491911', 'lat_lon_source': 'website'}",34.688588,135.190576,Kobe,{},+81 78 391 8388,650-0037,702,,/en-us/kobe-702.html
〒810-8717 福岡県 福岡市中央区天神1-4-1 大丸福岡天神店東館エルガーラ 2F,brunellocucinelli,福岡,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.493317', 'lat_lon_source': 'website'}",33.588649,130.401179,Fukuoka Hakata Daimaru Women's Boutique,{},+81 92 716 8822,810-8717,709,,/en-us/fukuoka-709.html
〒810-8680福岡県 福岡市中央区天神2-5-35 岩田屋本店 本館5F,brunellocucinelli,福岡,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.494561', 'lat_lon_source': 'website'}",33.588842,130.397425,Fukuoka Iwataya Man,{},+81 9 2707 3137,810-8680,724,,/en-us/fukuoka-724.html
〒810-8680 福岡県福岡市中央区天神2-5-35 岩田屋本店 新館4F,brunellocucinelli,福岡,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-26T17:20:18.496806', 'lat_lon_source': 'website'}",33.588842,130.397425,Fukuoka Iwataya Woman,{},+81 92 406 5016,810-8680,729,,/en-us/fukuoka-729.html
