addr_full,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
"Avenida Francisco Menéndez Sur y 3era Calle Oriente, Ahuachapán
",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'AGENCIA', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.91919,-89.84732,"{'opening_hours': {'Mon': '09:00-16:00', 'Tue': '09:00-16:00', 'Wed': '09:00-16:00', 'Thu': '09:00-16:00', 'Fri': '09:00-16:00', 'Sat': '09:00-12:00'}}",,4776,,AGENCIA AHUACHAPAN,,https://www.baccredomatic.com/es-sv/ubicaciones
"AVENIDA FRANCISCO MENÉNDEZ SUR Y 3A. CALLE ORIENTE, AHUACHAPAN",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'KIOSKO', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.92334728,-89.8481763,"{'opening_hours': {'Sun': '08:00-17:00', 'Mon': '08:00-17:00', 'Tue': '08:00-17:00', 'Wed': '08:00-17:00', 'Thu': '08:00-17:00', 'Fri': '08:00-17:00', 'Sat': '08:00-17:00'}}",,4791,,KIOSCO AGENCIA AHUACHAPAN,,https://www.baccredomatic.com/es-sv/ubicaciones
"1a. av. sur y 2da. calle poniente no. 9, bo. el calvario, ilobasco
",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'AGENCIA', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.840870890483,-88.851930333385,"{'opening_hours': {'Mon': '09:00-16:00', 'Tue': '09:00-16:00', 'Wed': '09:00-16:00', 'Thu': '09:00-16:00', 'Fri': '09:00-16:00', 'Sat': '09:00-12:00'}}",,4841,,AGENCIA ILOBASCO,,https://www.baccredomatic.com/es-sv/ubicaciones
"Barrio el chile, 3a. av sur contiguo a pollo campero, chalatenango",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'AGENCIA', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",14.039786737304,-88.939869088312,"{'opening_hours': {'Mon': '09:00-16:00', 'Tue': '09:00-16:00', 'Wed': '09:00-16:00', 'Thu': '09:00-16:00', 'Fri': '09:00-16:00', 'Sat': '09:00-12:00'}}",,4901,,AGENCIA CHALATENANGO,,https://www.baccredomatic.com/es-sv/ubicaciones
FINAL BARRIO SAN ANTONIO N.32 CHALATENAGO,San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'KIOSKO', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",14.04079333,-88.93909936,"{'opening_hours': {'Sun': '08:00-17:00', 'Mon': '08:00-17:00', 'Tue': '08:00-17:00', 'Wed': '08:00-17:00', 'Thu': '08:00-17:00', 'Fri': '08:00-17:00', 'Sat': '08:00-17:00'}}",,4911,,KIOSCO AGENCIA CHALATENANGO,,https://www.baccredomatic.com/es-sv/ubicaciones
"Entre 41 Av Sur y 2da calle Ote y Calle Francisco López, Cojutepeque, Cuscatlán",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'AGENCIA', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.72142,-88.93378,"{'opening_hours': {'Mon': '09:00-16:00', 'Tue': '09:00-16:00', 'Wed': '09:00-16:00', 'Thu': '09:00-16:00', 'Fri': '09:00-16:00', 'Sat': '09:00-12:00'}}",,4941,,AGENCIA COJUTEPEQUE,,https://www.baccredomatic.com/es-sv/ubicaciones
"Centro comercial Multiplaza, locales C-63 y C-64, Antiguo Cuscatlán",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'AGENCIA', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.67807,-89.25097,"{'opening_hours': {'Mon': '09:00-16:00', 'Tue': '09:00-16:00', 'Wed': '09:00-16:00', 'Thu': '09:00-16:00', 'Fri': '09:00-16:00', 'Sat': '09:00-12:00'}}",,5016,,AGENCIA MULTIPLAZA,,https://www.baccredomatic.com/es-sv/ubicaciones
"Urb. Santa Elena, Bv, Orden de Malta Edificio D'cora, Antiguo Cuscatlán 
",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'AGENCIA', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.6654,-89.26324,"{'opening_hours': {'Mon': '09:00-16:00', 'Tue': '09:00-16:00', 'Wed': '09:00-16:00', 'Thu': '09:00-16:00', 'Fri': '09:00-16:00', 'Sat': '09:00-12:00'}}",,5021,,AGENCIA SANTA ELENA,,https://www.baccredomatic.com/es-sv/ubicaciones
"URBANIZACIÓN SANTA ELENA, BOULEVARD ORDEN DE MALTA, EDIFICIO D'CORA. ANTIGUO CUSCATLAN, LA LIBERTAD",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'KIOSKO', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.66394442,-89.26098814,"{'opening_hours': {'Sun': '08:00-17:00', 'Mon': '08:00-17:00', 'Tue': '08:00-17:00', 'Wed': '08:00-17:00', 'Thu': '08:00-17:00', 'Fri': '08:00-17:00', 'Sat': '08:00-17:00'}}",,5086,,KIOSKO AGENCIA SANTA ELENA,,https://www.baccredomatic.com/es-sv/ubicaciones
"Centro comercial gran plaza, locales 2, 3 y 4 km. 24 carretera a santa ana, contigo a gasolinera el capulín, colón, la libertad
",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'AGENCIA', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.732463873701,-89.360166311719,"{'opening_hours': {'Mon': '09:00-16:00', 'Tue': '09:00-16:00', 'Wed': '09:00-16:00', 'Thu': '09:00-16:00', 'Fri': '09:00-16:00', 'Sat': '09:00-12:00'}}",,5191,,AGENCIA LOURDES,,https://www.baccredomatic.com/es-sv/ubicaciones
"COMPLEJO INDUSTRIAL ATEOS. KM. 1 1/2 CARRETERA A JAYAQUE, ATEOS, SACACOYO, LA LIBERTAD.",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'KIOSKO', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.74017819,-89.42356142,"{'opening_hours': {'Sun': '08:00-17:00', 'Mon': '08:00-17:00', 'Tue': '08:00-17:00', 'Wed': '08:00-17:00', 'Thu': '08:00-17:00', 'Fri': '08:00-17:00', 'Sat': '08:00-17:00'}}",,5251,,KIOSCO ADOC ATEOS,,https://www.baccredomatic.com/es-sv/ubicaciones
"COLONIA EL PROGRESO, 1RA. AVENIDA SUR NO. 39, LOURDES, COLÓN, L.L.",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'KIOSKO', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.73343379,-89.3610161,"{'opening_hours': {'Sun': '08:00-17:00', 'Mon': '08:00-17:00', 'Tue': '08:00-17:00', 'Wed': '08:00-17:00', 'Thu': '08:00-17:00', 'Fri': '08:00-17:00', 'Sat': '08:00-17:00'}}",,5256,,KIOSCO AGENCIA LOURDES,,https://www.baccredomatic.com/es-sv/ubicaciones
"CARRETERA A SAN JUAN OPICO KM 32 1/2, SITIO DEL NINO EL SALVADOR",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'KIOSKO', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.80678384,-89.39946135,"{'opening_hours': {'Sun': '08:00-17:00', 'Mon': '08:00-17:00', 'Tue': '08:00-17:00', 'Wed': '08:00-17:00', 'Thu': '08:00-17:00', 'Fri': '08:00-17:00', 'Sat': '08:00-17:00'}}",,5261,,KIOSCO KIMBERLY CLARK,,https://www.baccredomatic.com/es-sv/ubicaciones
"KM 31 CARRETERA A STA ANA, LOTIF. EL CASTAÑO # 11, 12, 13 Y 14. SN JUAN OPICO LL",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'KIOSKO', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.80074552,-89.36286155,"{'opening_hours': {'Sun': '08:00-17:00', 'Mon': '08:00-17:00', 'Tue': '08:00-17:00', 'Wed': '08:00-17:00', 'Thu': '08:00-17:00', 'Fri': '08:00-17:00', 'Sat': '08:00-17:00'}}",,5266,,KIOSCO TEXTILES OPICO,,https://www.baccredomatic.com/es-sv/ubicaciones
"Centro Comercial Plaza Merliot, 2o. Nivel local 244 y 246, La Libertad
",San Salvador,El Salvador,BAC Credomatic,"{'brand': 'BAC Credomatic', 'fascia': 'AGENCIA', 'category': 'Other', 'edit_date': '20250427', 'lat_lon_source': 'Third Party'}",13.67844,-89.27534,"{'opening_hours': {'Mon': '09:00-16:00', 'Tue': '09:00-16:00', 'Wed': '09:00-16:00', 'Thu': '09:00-16:00', 'Fri': '09:00-16:00', 'Sat': '09:00-12:00'}}",,5326,,AGENCIA PLAZA MERLIOT,,https://www.baccredomatic.com/es-sv/ubicaciones
