addr_full,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
"25 AV. NORTE, NO.712 COLONIA MEDICA, SAN SALVADOR, FRENTE HOS. PROFAMILIA",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.705991000000000,-89.204118000000000,"{'opening_hours': {'Sun': '09:00-19:00', 'Mon': '07:45-20:00', 'Tue': '07:45-20:00', 'Wed': '07:45-20:00', 'Thu': '07:45-20:00', 'Fri': '09:00-20:00', 'Sat': '07:45-20:00'}}",,SC3678,,Farmacias San Nicolás 25 AV NORTE,,https://www.farmaciasannicolas.com/sucursales
29 Calle Poniente . y 1 Ave. Norte # 216,SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.713429000000000,-89.191023000000000,"{'opening_hours': {'Sun': '08:30-18:00', 'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,SC4408,,Farmacias San Nicolás 29 CALLE,,https://www.farmaciasannicolas.com/sucursales
Pro. Alameda Juan PabloII y 75. Av. N CC Escalón II Lc 1-1&1-2,SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.710434000000000,-89.231872000000000,"{'opening_hours': {'Sun': '09:00-21:30', 'Mon': '07:45-21:30', 'Tue': '07:45-21:30', 'Wed': '07:45-21:30', 'Thu': '07:45-21:30', 'Fri': '07:45-21:30', 'Sat': '08:00-21:30'}}",,SC3310,,Farmacias San Nicolás 75 AVENIDA NORTE,,https://www.farmaciasannicolas.com/sucursales
"Barrio El Centro, Calle . Central #6",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.957475000000000,-89.186776000000000,"{'opening_hours': {'Sun': '07:30-17:00', 'Mon': '07:00-18:30', 'Tue': '07:00-18:30', 'Wed': '07:00-18:30', 'Thu': '07:00-18:30', 'Fri': '07:00-18:30', 'Sat': '07:00-18:30'}}",,SC2074,,Farmacias San Nicolás AGUILARES,,https://www.farmaciasannicolas.com/sucursales
"Avenida Francisco Menendez Norte # 1-5, Ciudad de Ahuachapan,",AHUACHAPÁN,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.921586000000000,-89.846852000000000,"{'opening_hours': {'Sun': '07:30-13:00', 'Mon': '07:30-18:00', 'Tue': '07:30-18:00', 'Wed': '07:30-18:00', 'Thu': '07:30-18:00', 'Fri': '07:30-18:00', 'Sat': '07:30-18:00'}}",,SC3164,,Farmacias San Nicolás AHUACHAPAN,,https://www.farmaciasannicolas.com/sucursales
"Centro Comercial Maquilishuat,. local #4 Antiguo Cuscatlán",LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.672251000000000,-89.239956000000000,"{'opening_hours': {'Sun': '08:30-22:00', 'Mon': '07:45-22:00', 'Tue': '07:45-22:00', 'Wed': '07:45-22:00', 'Thu': '07:45-22:00', 'Fri': '07:45-22:00', 'Sat': '07:45-22:00'}}",,SC4629,,Farmacias San Nicolás ANTIGUO,,https://www.farmaciasannicolas.com/sucursales
Av. Aquilino Chávez #12 Apopa.,SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.800057000000000,-89.178809000000000,"{'opening_hours': {'Sun': '07:30-18:00', 'Mon': '07:30-19:00', 'Tue': '07:30-19:00', 'Wed': '07:30-19:00', 'Thu': '07:30-19:00', 'Fri': '07:30-19:00', 'Sat': '07:30-19:00'}}",,SC3806,,Farmacias San Nicolás APOPA,,https://www.farmaciasannicolas.com/sucursales
Gasolinera UNO Arboledas. kilometro 24 1/2 Carr. sta ana,LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.738283000000000,-89.361229000000000,"{'opening_hours': {'Sun': '07:45-22:00', 'Mon': '07:45-22:00', 'Tue': '07:45-22:00', 'Wed': '07:45-22:00', 'Thu': '07:45-22:00', 'Fri': '07:45-22:00', 'Sat': '07:45-22:00'}}",,SC464,,Farmacias San Nicolás ARBOLEDAS,,https://www.farmaciasannicolas.com/sucursales
"Calle Arce, 7a. Av Nte.  #480.",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.699458000000000,-89.194914000000000,"{'opening_hours': {'Sun': '08:00-18:00', 'Mon': '07:30-20:00', 'Tue': '07:30-20:00', 'Wed': '07:30-20:00', 'Thu': '07:30-20:00', 'Fri': '07:30-20:00', 'Sat': '07:30-20:00'}}",,SC4508,,Farmacias San Nicolás ARCE,,https://www.farmaciasannicolas.com/sucursales
Gasolinera UNO Atlacatl (Calle 5 noviembre y ctra. Troncal del norte San Salvador),SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.709149000000000,-89.177224000000000,"{'opening_hours': {'Sun': '08:00-20:00', 'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,SC2419,,Farmacias San Nicolás ATLACATL,,https://www.farmaciasannicolas.com/sucursales
