addr_full,brand,city,country,extras,lat,long,name,opening_hours,phone,postcode,ref,state,website
"3-14-1 1F, Shinjuku-ku, Tokyo, 13 160-0022",Miu Miu,160-0022,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Tokyo Shinjuku Isetan Bags & Acc.,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81353662451,160-0022,S602,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"3-14-1 3F, Shinjuku-ku, Tokyo, 13 160-0022",Miu Miu,160-0022,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Tokyo Shinjuku Isetan 3F,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81332250145,160-0022,S411,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"2F Bldg.-B, , 21-1, Udagawa-cho 2F Bldg.-B, Shibuya-ku, Tokyo, 13 150-8330",Miu Miu,150-8330,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Tokyo Shibuya Seibu,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81334643781,150-8330,SB97,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"3-17-8, Minami-Aoyama , Minato-ku, Tokyo, 13 107-0062",Miu Miu,107-0062,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Tokyo Aoyama Barbison,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81364348591,107-0062,S606,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"1-9-1, Marunouchi, Chiyoda-ku 2F, , Tokyo, 13 100-6701",Miu Miu,100-6701,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Tokyo Daimaru Station,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81352217432,100-6701,S644,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"2F, 2-18-1, Takashima Nishi-ku, Kanagawa, Yokohama, 13 220-8510",Miu Miu,220-8510,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Yokohama Sogo,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81454418651,220-8510,S617,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"2-6-5, Ginza , Chuo-ku, Tokyo, 13 104-0061",Miu Miu,104-0061,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Tokyo Ginza Echigoya,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81335383181,104-0061,S621,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"2F Main Bldg., 3-16-1, Sakae 2F Main Bldg., Naka-ku, Nagoya, 23 460-8430",Miu Miu,460-8430,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Nagoya Matsuzakaya,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81522513805,460-8430,SE62,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"2F, 1-1-4, Meieki 2F, Nakamura-ku, Nagoya, 23 450-6001",Miu Miu,450-6001,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Nagoya Takashimaya,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81525713611,450-6001,S636,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"4F, 1000, Shinmachi 4F, Chuo-ku, Chiba, 12 260-8557",Miu Miu,260-8557,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Chiba Sogo,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81432458064,260-8557,S647,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
