addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Ave. Roberto Clemente, Esq. SÃ¡nchez CastaÃ±o, Villa Carolina, Carolina, P.R. 00985",Wendy's,"Carolina,",Puerto Rico,"{'brand': ""Wendy's"", 'fascia': ""Wendy's"", 'category': 'Retail', 'edit_date': '20250606', 'lat_lon_source': 'Google'}",18.392724,-65.965245,Wendy's Carolina,"{'opening_hours': {'Sun': '06:00-23:00', 'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-12:00', 'Sat': '06:00-12:00'}}",787-792-2001 ext. 7001,00985,z,,https://www.grupocolongerena.com/wendys
"Calle Federico Degetau, Esq. Calle 52 Urb. San Alfonso, Caguas, P.R. 00725",Wendy's,"Caguas,",Puerto Rico,"{'brand': ""Wendy's"", 'fascia': ""Wendy's"", 'category': 'Retail', 'edit_date': '20250606', 'lat_lon_source': 'Google'}",18.224314,-66.045087,Wendy's Caguas,"{'opening_hours': {'Sun': '06:00-23:00', 'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-00:00', 'Sat': '06:00-00:00'}}",787-792-2001 ext. 7019,00725,aN,,https://www.grupocolongerena.com/wendys
"Ave. San Alfonso #1321, San Juan, P.R. 00920",Wendy's,"Juan,",Puerto Rico,"{'brand': ""Wendy's"", 'fascia': ""Wendy's"", 'category': 'Retail', 'edit_date': '20250606', 'lat_lon_source': 'Google'}",18.393066,-66.087741,Wendy's Altamesa,"{'opening_hours': {'Sun': '06:00-23:00', 'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-00:00', 'Sat': '06:00-00:00'}}",787-792-2001 ext. 7003,00920,bO,,https://www.grupocolongerena.com/wendys
"Carr. Estatal 174, Ave. Lomas Verdes, BayamÃ³n, P.R. 00956",Wendy's,"BayamÃ³n,",Puerto Rico,"{'brand': ""Wendy's"", 'fascia': ""Wendy's"", 'category': 'Retail', 'edit_date': '20250606', 'lat_lon_source': 'Google'}",18.383004,-66.143474,Wendy's Lomas Verdes,"{'opening_hours': {'Sun': '06:00-23:00', 'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-00:00', 'Sat': '06:00-00:00'}}",787-792-2001 ext. 7016,00956,gh,,https://www.grupocolongerena.com/wendys
"Villa MarÃ­a Shopping Center, Carr. Estatal #2 KM. 49.4, ManatÃ­, P.R. 00674",Wendy's,"ManatÃ­,",Puerto Rico,"{'brand': ""Wendy's"", 'fascia': ""Wendy's"", 'category': 'Retail', 'edit_date': '20250606', 'lat_lon_source': 'Google'}",18.431207,-66.489448,Wendy's ManatÃ­,"{'opening_hours': {'Mon': None, 'Tue': None, 'Wed': None, 'Thu': None, 'Fri': None, 'Sat': None, 'Sun': None}}",787-792-2001 ext. 7011,00674,43,,https://www.grupocolongerena.com/wendys
"Carr. #2 KM. 158.6 Bo. Guanajibo, MayagÃ¼ez, P.R. 00680",Wendy's,"MayagÃ¼ez,",Puerto Rico,"{'brand': ""Wendy's"", 'fascia': ""Wendy's"", 'category': 'Retail', 'edit_date': '20250606', 'lat_lon_source': 'Google'}",18.168288,-67.149978,Wendy's MayagÃ¼ez,"{'opening_hours': {'Sun': '06:00-23:00', 'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-00:00', 'Sat': '06:00-00:00'}}",787-792-2001 ext. 7022,00680,52,,https://www.grupocolongerena.com/wendys
"Ave. Luis Llorens Torres, Urb. Olmos, Arecibo, P.R. 00612",Wendy's,"Arecibo,",Puerto Rico,"{'brand': ""Wendy's"", 'fascia': ""Wendy's"", 'category': 'Retail', 'edit_date': '20250606', 'lat_lon_source': 'Google'}",18.470193,-66.723201,Wendy's Arecibo,"{'opening_hours': {'Sun': '06:00-23:00', 'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-00:00', 'Sat': '06:00-00:00'}}",787-792-2001 ext. 7017,00612,49,,https://www.grupocolongerena.com/wendys
"Ave. Campo Rico Esq. Calle 246, Country Club Shopping Center, Carolina, P.R. 00979",Wendy's,"Carolina,",Puerto Rico,"{'brand': ""Wendy's"", 'fascia': ""Wendy's"", 'category': 'Retail', 'edit_date': '20250606', 'lat_lon_source': 'Google'}",18.415322,-65.990475,Wendy's Campo Rico,"{'opening_hours': {'Sun': '06:00-23:00', 'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-00:00', 'Sat': '06:00-00:00'}}",787-792-2001 ext. 7013,00979,gk,,https://www.grupocolongerena.com/wendys
"Carr. 189 KM. 3.20 Bo. Rincon, Gurabo P.R. 00778",Wendy's,Gurabo,Puerto Rico,"{'brand': ""Wendy's"", 'fascia': ""Wendy's"", 'category': 'Retail', 'edit_date': '20250606', 'lat_lon_source': 'Google'}",18.242778,-66.008767,Wendy's Turabo,"{'opening_hours': {'Sun': '06:00-23:00', 'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-00:00', 'Sat': '06:00-00:00'}}",787-792-2001 ext. 7030,00778,59,,https://www.grupocolongerena.com/wendys
"Ave. Comerio, Rio Hondo, BayamÃ³n, P.R. 00961",Wendy's,"BayamÃ³n,",Puerto Rico,"{'brand': ""Wendy's"", 'fascia': ""Wendy's"", 'category': 'Retail', 'edit_date': '20250606', 'lat_lon_source': 'Google'}",18.411949,-66.160575,Wendy's Plaza del Parque,"{'opening_hours': {'Sun': '06:00-23:00', 'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-00:00', 'Sat': '06:00-00:00'}}",787-792-2001 ext. 7029,00961,58,,https://www.grupocolongerena.com/wendys
