addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
東京都渋谷区千駄ヶ谷2-11-1,Ron Herman,SENDAGAYA,Japan,"{'brand': 'Ron Herman', 'fascia': None, 'category': 'Fashion', 'edit_date': '20250305', 'lat_lon_source': 'Website'}",35.675517,139.710071,ロンハーマン千駄ヶ谷店,"{'opening_hours': {'Mon': '11:00-19:30', 'Tue': '11:00-19:30', 'Wed': '11:00-19:30', 'Thu': '11:00-19:30', 'Fri': '11:00-19:30', 'Sat': '11:00-19:30', 'Sun': '11:00-19:30'}}","0334026839,0334786839,0334706839",151-8575,1,,https://ronherman.jp/store
東京都世田谷区玉川4-1-25玉川髙島屋S・C　アイビーズプレイス,Ron Herman,FUTAKOTAMAGAWA,Japan,"{'brand': 'Ron Herman', 'fascia': None, 'category': 'Fashion', 'edit_date': '20250305', 'lat_lon_source': 'Website'}",35.615149,139.627229,ロンハーマン二子玉川店,"{'opening_hours': {'Mon': '10：00-20：00', 'Tue': '10：00-20：00', 'Wed': '10：00-20：00', 'Thu': '10：00-20：00', 'Fri': '10：00-20：00', 'Sat': '10：00-20：00', 'Sun': '10：00-20：00'}}",0337086839,158-0094,2,,https://ronherman.jp/store
兵庫県神戸市中央区三宮町3-6-1神戸BAL ANNEX,Ron Herman,KOBE,Japan,"{'brand': 'Ron Herman', 'fascia': None, 'category': 'Fashion', 'edit_date': '20250305', 'lat_lon_source': 'Website'}",34.689775,135.190165,ロンハーマン神戸店,"{'opening_hours': {'Mon': '11：00-20：00', 'Tue': '11：00-20：00', 'Wed': '11：00-20：00', 'Thu': '11：00-20：00', 'Fri': '11：00-20：00', 'Sat': '11：00-20：00', 'Sun': '11：00-20：00'}}",0783336839,650-0021,3,,https://ronherman.jp/store
東京都千代田区有楽町2-5-1ルミネ有楽町店 ルミネ１ 1F,Ron Herman,YURAKUCHO,Japan,"{'brand': 'Ron Herman', 'fascia': None, 'category': 'Fashion', 'edit_date': '20250305', 'lat_lon_source': 'Website'}",35.673562,139.763054,ロンハーマン有楽町店,"{'opening_hours': {'Mon': '11：00-21：00', 'Tue': '11：00-21：00', 'Wed': '11：00-21：00', 'Thu': '11：00-21：00', 'Fri': '11：00-21：00', 'Sat': '11：00-21：00', 'Sun': '11：00-21：00'}}",0352221739,100-0006,4,,https://ronherman.jp/store
神奈川県藤沢市辻堂神台1-3-1テラスモール湘南 湘南ヴィレッジ,Ron Herman,TSUJIDO,Japan,"{'brand': 'Ron Herman', 'fascia': None, 'category': 'Fashion', 'edit_date': '20250305', 'lat_lon_source': 'Website'}",35.33825,139.447216,ロンハーマン辻堂店,"{'opening_hours': {'Mon': '10：00-21：00', 'Tue': '10：00-21：00', 'Wed': '10：00-21：00', 'Thu': '10：00-21：00', 'Fri': '10：00-21：00', 'Sat': '10：00-21：00', 'Sun': '10：00-21：00'}}",0466381839,251-0041,5,,https://ronherman.jp/store
東京都港区赤坂9-7-4東京ミッドタウン　ガーデンテラスB1F,Ron Herman,ROPPONGI,Japan,"{'brand': 'Ron Herman', 'fascia': None, 'category': 'Fashion', 'edit_date': '20250305', 'lat_lon_source': 'Website'}",35.666852,139.730537,ロンハーマン六本木店,"{'opening_hours': {'Mon': '11：00-20：00', 'Tue': '11：00-20：00', 'Wed': '11：00-20：00', 'Thu': '11：00-20：00', 'Fri': '11：00-20：00', 'Sat': '11：00-20：00', 'Sun': '11：00-20：00'}}",0364470561,107-0052,7,,https://ronherman.jp/store
大阪府大阪市北区大深町4-20グランフロント大阪ショップ＆レストラン　南館1F,Ron Herman,OSAKA,Japan,"{'brand': 'Ron Herman', 'fascia': None, 'category': 'Fashion', 'edit_date': '20250305', 'lat_lon_source': 'Website'}",34.704358,135.494392,ロンハーマン大阪店,"{'opening_hours': {'Mon': '11：00-21：00', 'Tue': '11：00-21：00', 'Wed': '11：00-21：00', 'Thu': '11：00-21：00', 'Fri': '11：00-21：00', 'Sat': '11：00-21：00', 'Sun': '11：00-21：00'}}",0669406835,530-0011,8,,https://ronherman.jp/store
愛知県名古屋市中区栄3-6-1ラシック1F,Ron Herman,NAGOYA,Japan,"{'brand': 'Ron Herman', 'fascia': None, 'category': 'Fashion', 'edit_date': '20250305', 'lat_lon_source': 'Website'}",35.167421,136.907487,ロンハーマン名古屋店,"{'opening_hours': {'Mon': '11：00-21：00', 'Tue': '11：00-21：00', 'Wed': '11：00-21：00', 'Thu': '11：00-21：00', 'Fri': '11：00-21：00', 'Sat': '11：00-21：00', 'Sun': '11：00-21：00'}}",0526847652,460-0008,10,,https://ronherman.jp/store
福岡県福岡市中央区警固1-15-43,Ron Herman,FUKUOKA,Japan,"{'brand': 'Ron Herman', 'fascia': None, 'category': 'Fashion', 'edit_date': '20250305', 'lat_lon_source': 'Website'}",33.585437,130.394841,ロンハーマン福岡店,"{'opening_hours': {'Mon': '11：00-19：30', 'Tue': '11：00-19：30', 'Wed': '11：00-19：30', 'Thu': '11：00-19：30', 'Fri': '11：00-19：30', 'Sat': '11：00-19：30', 'Sun': '11：00-19：30'}}",0924064790,810-0023,11,,https://ronherman.jp/store
神奈川県逗子市小坪5-23-10リビエラ逗子マリーナ本館1F,Ron Herman,ZUSHI MARINA,Japan,"{'brand': 'Ron Herman', 'fascia': None, 'category': 'Fashion', 'edit_date': '20250305', 'lat_lon_source': 'Website'}",35.295969,139.552179,ロンハーマン逗子マリーナ店,"{'opening_hours': {'Mon': '11：00-19：30', 'Tue': '11：00-19：30', 'Wed': '11：00-19：30', 'Thu': '11：00-19：30', 'Fri': '11：00-19：30', 'Sat': '11：00-19：30', 'Sun': '11：00-19：30'}}",0467387260,249-0008,12,,https://ronherman.jp/store
